종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,15650,-50,-0.32,1033,15.15,11860,1.32,"180
",의약품 제조업
2700,신일전자 ,1950,-10,-0.51,115,16.96,1059,1.84,"20
",기계장비 및 관련 물품 도매업
4690,삼천리 ,93100,100,0.11,9248,10.07,317378,0.29,"3000
",연료용 가스 제조 및 배관공급업
6740,영풍제지 ,7030,120,1.74,483,14.55,5692,1.24,"40
","골판지, 종이 상자 및 종이용기 제조업"
8490,서흥 ,47650,150,0.32,4766,10,29221,1.63,"450
",기타 화학제품 제조업
9180,한솔로지스틱스 ,5010,325,6.94,316,15.85,1989,2.52,"50
",기타 운송관련 서비스업
10050,우리종금 ,1015,28,2.84,89,11.4,605,1.68,"10
",기타 금융업
19010,베뉴지 ,2270,-10,-0.44,216,10.51,5453,0.42,"30
",종합 소매업
24090,디씨엠 ,22550,100,0.45,2166,10.41,16153,1.4,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3800,135,3.68,221,17.19,9852,0.39,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,9140,0,0,697,13.11,3233,2.83,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10150,0,0,781,13,10226,0.99,"100
",전문디자인업
42500,링네트 ,6690,90,1.36,598,11.19,4476,1.49,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9860,170,1.75,740,13.32,2041,4.83,"275
",기타 사업지원 서비스업
53620,태양 ,9050,10,0.11,881,10.27,19081,0.47,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,10550,50,0.48,974,10.83,10889,0.97,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7890,20,0.25,599,13.17,12442,0.63,"80
",통신 및 방송 장비 제조업
67900,와이엔텍 ,12250,250,2.08,1203,10.18,8637,1.42,"0
",폐기물 처리업
67920,이글루시큐리티 ,7500,70,0.94,526,14.26,4533,1.65,"160
",기타 정보 서비스업
69080,웹젠 ,28050,-50,-0.18,2802,10.01,12300,2.28,"0
",소프트웨어 개발 및 공급업
71460,위니아딤채 ,3775,-125,-3.21,348,10.85,2186,1.73,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37000,350,0.95,2306,16.05,21274,1.74,"185
",생활용품 도매업
90350,노루페인트 ,10400,-150,-1.42,879,11.83,16315,0.64,"275
",기타 화학제품 제조업
92730,네오팜 ,26850,200,0.75,2318,11.58,14343,1.87,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,47850,550,1.16,3156,15.16,22393,2.14,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,33700,350,1.05,2567,13.13,51539,0.65,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,32150,-350,-1.08,2628,12.23,26857,1.2,"200
",기초 화학물질 제조업
119860,다나와 ,28600,400,1.42,2387,11.98,10461,2.73,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8840,20,0.23,718,12.31,5865,1.51,"0
",텔레비전 방송업
126640,화신정공 ,2265,20,0.89,138,16.41,2357,0.96,"30
",자동차 신품 부품 제조업
192080,더블유게임즈 ,67800,2600,3.99,6634,10.22,36923,1.84,"350
",소프트웨어 개발 및 공급업
