종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,15400,-250,-1.6,1033,14.91,11860,1.3,"180
",의약품 제조업
2700,신일전자 ,1930,-20,-1.03,115,16.78,1059,1.82,"20
",기계장비 및 관련 물품 도매업
4690,삼천리 ,93200,100,0.11,9248,10.08,317378,0.29,"3000
",연료용 가스 제조 및 배관공급업
6740,영풍제지 ,7010,-20,-0.28,483,14.51,5692,1.23,"40
","골판지, 종이 상자 및 종이용기 제조업"
8490,서흥 ,47750,100,0.21,4766,10.02,29221,1.63,"450
",기타 화학제품 제조업
9180,한솔로지스틱스 ,5090,80,1.6,316,16.11,1989,2.56,"50
",기타 운송관련 서비스업
10050,우리종금 ,1005,-10,-0.99,89,11.29,605,1.66,"10
",기타 금융업
19010,베뉴지 ,2225,-45,-1.98,216,10.3,5453,0.41,"30
",종합 소매업
24090,디씨엠 ,23400,850,3.77,2166,10.8,16153,1.45,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3805,5,0.13,221,17.22,9852,0.39,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8940,-200,-2.19,697,12.83,3233,2.77,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10100,-50,-0.49,781,12.93,10226,0.99,"100
",전문디자인업
42500,링네트 ,6560,-130,-1.94,598,10.97,4476,1.47,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9800,-60,-0.61,740,13.24,2041,4.8,"275
",기타 사업지원 서비스업
53620,태양 ,9070,20,0.22,881,10.3,19081,0.48,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,10650,100,0.95,974,10.93,10889,0.98,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7840,-50,-0.63,599,13.09,12442,0.63,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20400,-50,-0.24,1319,15.47,14273,1.43,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67900,와이엔텍 ,12300,50,0.41,1203,10.22,8637,1.42,"0
",폐기물 처리업
67920,이글루시큐리티 ,7430,-70,-0.93,526,14.13,4533,1.64,"160
",기타 정보 서비스업
71460,위니아딤채 ,3775,0,0,348,10.85,2186,1.73,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,36550,-450,-1.22,2306,15.85,21274,1.72,"185
",생활용품 도매업
90350,노루페인트 ,10100,-300,-2.88,879,11.49,16315,0.62,"275
",기타 화학제품 제조업
92730,네오팜 ,26500,-350,-1.3,2318,11.43,14343,1.85,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,48050,200,0.42,3156,15.22,22393,2.15,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,33250,-450,-1.34,2567,12.95,51539,0.65,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,31800,-350,-1.09,2628,12.1,26857,1.18,"200
",기초 화학물질 제조업
119860,다나와 ,28400,-200,-0.7,2387,11.9,10461,2.71,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8640,-200,-2.26,718,12.03,5865,1.47,"0
",텔레비전 방송업
126640,화신정공 ,2200,-65,-2.87,138,15.94,2357,0.93,"30
",자동차 신품 부품 제조업
