종목코드,업종명,종가,등락,등락률,EPS,PER,BPS,PBR,주당 배당금,업종분야
20,동화약품 ,14850,-250,-1.66,1033,14.38,11860,1.25,"180
",의약품 제조업
2700,신일전자 ,1905,-30,-1.55,115,16.57,1059,1.8,"20
",기계장비 및 관련 물품 도매업
4690,삼천리 ,92500,-800,-0.86,9248,10,317378,0.29,"3000
",연료용 가스 제조 및 배관공급업
6740,영풍제지 ,6810,-130,-1.87,483,14.1,5692,1.2,"40
","골판지, 종이 상자 및 종이용기 제조업"
9180,한솔로지스틱스 ,4835,-35,-0.72,316,15.3,1989,2.43,"50
",기타 운송관련 서비스업
10050,우리종금 ,981,-16,-1.6,89,11.02,605,1.62,"10
",기타 금융업
19010,베뉴지 ,2190,-10,-0.45,216,10.14,5453,0.4,"30
",종합 소매업
24090,디씨엠 ,23300,100,0.43,2166,10.76,16153,1.44,"500
",1차 철강 제조업
25530,SJM홀딩스 ,3720,0,0,221,16.83,9852,0.38,"100
",자동차 부품 및 내장품 판매업
33290,코웰패션 ,8880,10,0.11,697,12.74,3233,2.75,"120
","섬유, 의복, 신발 및 가죽제품 소매업"
39830,오로라 ,10400,250,2.46,781,13.32,10226,1.02,"100
",전문디자인업
42500,링네트 ,6520,100,1.56,598,10.9,4476,1.46,"0
","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
49720,고려신용정보 ,9660,-40,-0.41,740,13.05,2041,4.73,"275
",기타 사업지원 서비스업
53620,태양 ,9000,-60,-0.66,881,10.22,19081,0.47,"150
",기타 금속 가공제품 제조업
53690,한미글로벌 ,10600,-100,-0.93,974,10.88,10889,0.97,"300
","건축기술, 엔지니어링 및 관련 기술 서비스업"
56360,코위버 ,7900,-80,-1,599,13.19,12442,0.63,"80
",통신 및 방송 장비 제조업
65710,서호전기 ,20200,-350,-1.7,1319,15.31,14273,1.42,"1000
","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
67920,이글루시큐리티 ,7250,-180,-2.42,526,13.78,4533,1.6,"160
",기타 정보 서비스업
71460,위니아딤채 ,3670,-45,-1.21,348,10.55,2186,1.68,"0
",가정용 기기 제조업
81660,휠라홀딩스 ,37000,-1400,-3.65,2306,16.05,21274,1.74,"185
",생활용품 도매업
90350,노루페인트 ,10650,600,5.97,879,12.12,16315,0.65,"275
",기타 화학제품 제조업
92730,네오팜 ,25900,-250,-0.96,2318,11.17,14343,1.81,"650
",기타 화학제품 제조업
93320,케이아이엔엑스 ,51500,4050,8.54,3156,16.32,22393,2.3,"500
","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
103140,풍산 ,32100,-750,-2.28,2567,12.5,51539,0.62,"600
",1차 비철금속 제조업
104830,원익머트리얼즈 ,31600,-150,-0.47,2628,12.02,26857,1.18,"200
",기초 화학물질 제조업
119860,다나와 ,27650,-400,-1.43,2387,11.58,10461,2.64,"600
",소프트웨어 개발 및 공급업
122450,KMH ,8410,-120,-1.41,718,11.71,5865,1.43,"0
",텔레비전 방송업
126640,화신정공 ,2085,-70,-3.25,138,15.11,2357,0.88,"30
",자동차 신품 부품 제조업
