종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,17700,-400,-2.21,18250,18350,16700,690470,12072704900,4.94387E+11,27931470
40,KR모터스,KOSPI,,1075,70,6.97,1105,1110,1030,8306021,8850435080,98535594350,91661018
50,경방,KOSPI,,11250,100,0.9,11200,11350,11050,37999,426439800,3.08422E+11,27415270
60,메리츠화재,KOSPI,,15100,300,2.03,14700,15200,14700,324015,4872063050,1.71657E+12,113680000
70,삼양홀딩스,KOSPI,,64300,0,0,64000,65000,63700,15043,966577200,5.50683E+11,8564271
75,삼양홀딩스우,KOSPI,,47800,0,0,47800,47900,47800,239,11429000,14533972400,304058
80,하이트진로,KOSPI,,34650,-50,-0.14,34700,35100,34600,232801,8094930400,2.43013E+12,70133611
87,하이트진로2우B,KOSPI,,21150,100,0.48,21050,21200,20850,2864,60417800,23902418700,1130138
100,유한양행,KOSPI,,64400,-100,-0.16,64400,65000,64100,297905,19196922000,4.30558E+12,66856810
105,유한양행우,KOSPI,,63400,-300,-0.47,63800,64700,63100,9073,577067700,74871596000,1180940
120,CJ대한통운,KOSPI,,158000,2500,1.61,155500,158000,155500,86741,13612209000,3.60435E+12,22812344
140,하이트진로홀딩스,KOSPI,,16000,250,1.59,15750,16100,15600,12457,198430500,3.71308E+11,23206765
145,하이트진로홀딩스우,KOSPI,,15300,-100,-0.65,15250,15400,15200,994,15150000,7203393000,470810
150,두산,KOSPI,,50300,700,1.41,50000,50900,49000,100100,4998745550,8.31149E+11,16523835
155,두산우,KOSPI,,40950,250,0.61,40500,40950,40200,23163,939547800,1.63655E+11,3996462
157,두산2우B,KOSPI,,80500,200,0.25,80400,80800,79700,1353,108413100,71889559000,893038
180,성창기업지주,KOSPI,,1980,-5,-0.25,2010,2025,1950,928364,1844834540,1.38108E+11,69751600
210,대림산업,KOSPI,,83800,1600,1.95,82100,84100,81100,454752,37751905000,2.91624E+12,34800000
215,대림산업우,KOSPI,,44350,1000,2.31,43400,44350,43300,27038,1186374200,1.6853E+11,3800000
220,유유제약,KOSPI,,13650,-250,-1.8,13900,13950,13350,168947,2293544950,97431147450,7137813
225,유유제약1우,KOSPI,,13450,-300,-2.18,13650,13750,13300,21001,282960600,15245104250,1133465
227,유유제약2우B,KOSPI,,33000,700,2.17,32550,33000,32500,1308,42885950,5414640000,164080
230,일동홀딩스,KOSPI,,9510,60,0.63,9460,9550,9400,9519,90050470,1.09749E+11,11540400
240,한국테크놀로지그룹,KOSPI,,15850,-100,-0.63,16050,16100,15600,405918,6414188850,1.47437E+12,93020173
250,삼천당제약,KOSDAQ,우량기업부,54700,1500,2.82,53300,55300,52900,437940,23776420000,1.24541E+12,22768041
270,기아차,KOSPI,,58100,3600,6.61,54500,58700,54500,4438993,2.55438E+11,2.35516E+13,405363347
300,대유플러스,KOSPI,,822,-12,-1.44,848,848,816,1089685,903344368,94191692748,114588434
320,노루홀딩스,KOSPI,,9490,230,2.48,9280,9500,9220,19204,180672220,1.26133E+11,13291151
325,노루홀딩스우,KOSPI,,17900,-150,-0.83,18150,18150,17900,280,5013100,3315975000,185250
370,한화손해보험,KOSPI,,3015,0,0,3010,3065,2965,688745,2069901635,3.51968E+11,116738915
390,삼화페인트,KOSPI,,5130,0,0,5140,5160,5100,25182,128993590,1.35631E+11,26438751
400,롯데손해보험,KOSPI,,1820,70,4,1765,1820,1745,2352686,4215640285,5.64812E+11,310336320
430,대원강업,KOSPI,,4000,0,0,4040,4040,3955,176986,703467450,2.48E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,8250,130,1.6,8350,8350,8060,41596,339270880,51373822500,6227130
480,조선내화,KOSPI,,76600,500,0.66,76000,77000,75700,1662,127201600,3.064E+11,4000000
490,대동공업,KOSPI,,7720,260,3.49,7460,7840,7410,893363,6823691340,1.83182E+11,23728210
500,가온전선,KOSPI,,22050,-100,-0.45,22150,22400,21850,10088,223412750,91735651350,4160347
520,삼일제약,KOSPI,,21350,-550,-2.51,21900,21900,21250,52600,1127850400,1.42936E+11,6694896
540,흥국화재,KOSPI,,2865,95,3.43,2785,2880,2770,138063,391049935,1.84055E+11,64242645
545,흥국화재우,KOSPI,,15200,350,2.36,15100,15600,14700,110868,1678028350,11673600000,768000
547,흥국화재2우B,KOSPI,,23450,0,0,23350,23650,23350,860,20248700,3601920000,153600
590,CS홀딩스,KOSPI,,58100,-600,-1.02,58700,58700,57400,1975,114389600,67075404200,1154482
640,동아쏘시오홀딩스,KOSPI,,134500,12000,9.8,128500,151000,125500,400027,55020500500,8.25602E+11,6138305
650,천일고속,KOSPI,,67600,100,0.15,66900,68000,66100,4154,278056700,96615272000,1429220
660,SK하이닉스,KOSPI,,87000,500,0.58,86100,87200,85900,2638617,2.2902E+11,6.33362E+13,728002365
670,영풍,KOSPI,,520000,3000,0.58,517000,522000,512000,1528,790791000,9.57861E+11,1842040
680,LS네트웍스,KOSPI,,2170,20,0.93,2145,2175,2145,34812,75292435,1.71003E+11,78803016
700,유수홀딩스,KOSPI,,5410,10,0.19,5400,5420,5210,29503,156897170,1.40886E+11,26041812
