종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,8270,-100,-1.19,8390,8390,8190,56589,466996770,2.30993E+11,27931470
40,KR모터스,KOSPI,,489,-4,-0.81,494,494,485,297868,145187054,92638152675,189444075
50,경방,KOSPI,,10050,60,0.6,10050,10050,9940,8773,87619570,2.75523E+11,27415270
60,메리츠화재,KOSPI,,19550,350,1.82,19300,19700,19100,143390,2787597600,2.22244E+12,113680000
70,삼양홀딩스,KOSPI,,64500,-900,-1.38,65400,66100,63600,7334,473114300,5.52395E+11,8564271
75,삼양홀딩스우,KOSPI,,43050,-1000,-2.27,44100,44250,42550,831,35970550,13089696900,304058
80,하이트진로,KOSPI,,29600,300,1.02,29300,29750,29100,179556,5284434650,2.07595E+12,70133611
87,하이트진로2우B,KOSPI,,17850,100,0.56,17750,17850,17700,252,4479000,20172963300,1130138
100,유한양행,KOSPI,,218000,-1000,-0.46,218000,219000,216500,24126,5250713000,2.78541E+12,12777115
105,유한양행우,KOSPI,,205500,0,0,206000,206000,205500,305,62678500,48536634000,236188
120,CJ대한통운,KOSPI,,157500,0,0,157500,159500,155500,47512,7475119000,3.59294E+12,22812344
140,하이트진로홀딩스,KOSPI,,14400,50,0.35,14300,14650,14200,46265,666915800,3.34177E+11,23206765
145,하이트진로홀딩스우,KOSPI,,18450,-150,-0.81,18300,18750,18200,10342,189902850,8686444500,470810
150,두산,KOSPI,,76100,-400,-0.52,76600,77000,75800,55013,4185215300,1.25746E+12,16523835
155,두산우,KOSPI,,67400,100,0.15,67300,67400,67000,1865,125583500,2.69362E+11,3996462
157,두산2우B,KOSPI,,67900,0,0,67900,67900,67100,558,37632900,60637280200,893038
180,성창기업지주,KOSPI,,1660,-35,-2.06,1695,1695,1620,179832,296811935,1.15788E+11,69751600
210,대림산업,KOSPI,,92500,-800,-0.86,93200,93700,92200,59235,5485886100,3.219E+12,34800000
215,대림산업우,KOSPI,,39550,-250,-0.63,40100,40400,39500,1712,67984600,1.5029E+11,3800000
220,유유제약,KOSPI,,11750,-50,-0.42,11950,11950,11650,9456,110871300,74830897250,6368587
225,유유제약1우,KOSPI,,7390,60,0.82,7310,7390,7250,2373,17421440,8376306350,1133465
227,유유제약2우B,KOSPI,,19950,0,0,19550,19950,19100,928,17948650,3273396000,164080
230,일동홀딩스,KOSPI,,11600,-150,-1.28,11600,11800,11550,56483,657811700,1.2763E+11,11002587
240,한국테크놀로지그룹,KOSPI,,13700,-50,-0.36,13750,13950,13550,37046,508450050,1.27438E+12,93020173
250,삼천당제약,KOSDAQ,우량기업부,33650,-50,-0.15,33800,34100,33550,77903,2626474300,7.43861E+11,22105813
270,기아차,KOSPI,,42950,-150,-0.35,43100,43350,42600,762692,32849160300,1.74104E+13,405363347
300,대유플러스,KOSPI,,774,4,0.52,779,779,767,209341,161806271,81510683040,105310960
320,노루홀딩스,KOSPI,,12500,100,0.81,12350,12550,12350,3273,40787900,1.66139E+11,13291151
325,노루홀딩스우,KOSPI,,17950,100,0.56,17850,18050,17700,1276,22798550,3325237500,185250
370,한화손해보험,KOSPI,,2980,10,0.34,2970,2995,2960,90743,269945055,3.47882E+11,116738915
390,삼화페인트,KOSPI,,5290,10,0.19,5340,5340,5220,17877,94243750,1.39861E+11,26438751
400,롯데손해보험,KOSPI,,2270,75,3.42,2195,2270,2195,482096,1082167550,7.04463E+11,310336320
430,대원강업,KOSPI,,3640,15,0.41,3625,3645,3610,13820,50119150,2.2568E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,7100,0,0,7140,7220,7020,20356,144568020,44212623000,6227130
480,조선내화,KOSPI,,92000,700,0.77,91100,92000,90600,1291,118159500,3.68E+11,4000000
490,대동공업,KOSPI,,6080,20,0.33,6060,6160,6060,46216,281956440,1.44268E+11,23728210
500,가온전선,KOSPI,,19000,0,0,18800,19200,18800,977,18520900,79046593000,4160347
520,삼일제약,KOSPI,,21900,-550,-2.45,22450,22650,21550,66765,1462838750,1.4235E+11,6500000
540,흥국화재,KOSPI,,3305,-35,-1.05,3350,3360,3275,15259,50625220,2.12322E+11,64242645
545,흥국화재우,KOSPI,,4720,-60,-1.26,4750,4770,4710,1448,6855615,3624960000,768000
547,흥국화재2우B,KOSPI,,19800,50,0.25,19750,19800,19150,487,9507700,3041280000,153600
590,CS홀딩스,KOSPI,,58100,0,0,58100,58100,57700,125,7228200,67075404200,1154482
640,동아쏘시오홀딩스,KOSPI,,87200,-1800,-2.02,89000,89800,87200,8510,747764100,5.35259E+11,6138297
650,천일고속,KOSPI,,71300,100,0.14,70800,71600,70800,325,23098700,1.01903E+11,1429220
660,SK하이닉스,KOSPI,,81300,-1000,-1.22,82500,82500,80700,2174477,1.76687E+11,5.91866E+13,728002365
670,영풍,KOSPI,,619000,-4000,-0.64,623000,630000,606000,719,444965000,1.14022E+12,1842040
680,LS네트웍스,KOSPI,,2555,0,0,2510,2555,2485,16178,40718040,2.01342E+11,78803016
700,유수홀딩스,KOSPI,,7310,0,0,7360,7370,7220,10658,77441060,1.90366E+11,26041812
720,현대건설,KOSPI,,44600,-700,-1.55,45150,45150,44400,204117,9116841400,4.96647E+12,111355765
725,현대건설우,KOSPI,,152500,-2500,-1.61,153000,153000,151000,466,70628000,15075540000,98856
760,이화산업,KOSPI,,15000,0,0,15000,15000,14850,20,299850,42000000000,2800000
810,삼성화재,KOSPI,,236000,500,0.21,234500,238500,234000,101094,23892134500,1.11805E+13,47374837
815,삼성화재우,KOSPI,,170000,0,0,170000,170500,168500,3184,538734500,5.4264E+11,3192000
