종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,13900,250,1.83,13750,14100,13700,353774,4915618400,3.88247E+11,27931470
40,KR모터스,KOSPI,,981,39,4.14,950,999,938,305046,295834428,94310758008,96137368
50,경방,KOSPI,,13800,50,0.36,13800,13900,13600,21700,298806450,3.78331E+11,27415270
60,메리츠화재,KOSPI,,29200,300,1.04,29100,29900,29050,243619,7200445550,3.52225E+12,120625000
70,삼양홀딩스,KOSPI,,100500,3000,3.08,97500,101000,97400,15756,1573056700,8.60709E+11,8564271
75,삼양홀딩스우,KOSPI,,67800,1800,2.73,67900,68800,67600,94,6423900,20615132400,304058
80,하이트진로,KOSPI,,33950,500,1.49,33350,34200,33200,254317,8603026450,2.38104E+12,70133611
87,하이트진로2우B,KOSPI,,20200,200,1,20000,20250,20000,345,6959500,22828787600,1130138
100,유한양행,KOSPI,,59100,0,0,58700,59600,58700,135241,8007971700,4.1354E+12,69972959
105,유한양행우,KOSPI,,58400,0,0,58400,58600,58400,473,27645600,68966896000,1180940
120,CJ대한통운,KOSPI,,139000,1500,1.09,137500,140000,137500,21930,3044741500,3.17092E+12,22812344
140,하이트진로홀딩스,KOSPI,,14300,100,0.7,14200,14400,14150,13443,191242800,3.31857E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16350,-100,-0.61,17300,17300,16350,312,5196850,7697743500,470810
150,두산,KOSPI,,138500,7000,5.32,133000,141000,129000,102944,14153797500,2.28855E+12,16523835
155,두산우,KOSPI,,84800,3600,4.43,82100,85300,81700,12277,1033979000,3.389E+11,3996462
157,두산2우B,KOSPI,,127500,4000,3.24,123500,129000,123500,2622,330605000,1.13862E+11,893038
180,성창기업지주,KOSPI,,2515,40,1.62,2465,2520,2465,121869,304384210,1.75425E+11,69751600
210,DL,KOSPI,,64300,700,1.1,63600,64700,63600,46445,2984144500,1.34746E+12,20955884
215,DL우,KOSPI,,39150,50,0.13,38500,39350,38500,3076,120190200,66011402250,1686115
220,유유제약,KOSPI,,7010,120,1.74,6930,7050,6920,51135,358085100,1.20799E+11,17232351
225,유유제약1우,KOSPI,,9360,170,1.85,9000,9400,9000,8484,78509230,21218464800,2266930
227,유유제약2우B,KOSPI,,20700,1000,5.08,19900,20700,19700,1021,20265950,6739092000,325560
230,일동홀딩스,KOSPI,,13550,350,2.65,13150,13650,13150,10942,146857100,1.56372E+11,11540400
240,한국앤컴퍼니,KOSPI,,17100,250,1.48,16800,17150,16800,53068,901149500,1.62339E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,47450,-50,-0.11,47200,48100,47200,73389,3488735600,1.08034E+12,22768041
270,기아,KOSPI,,86800,2900,3.46,84200,87200,84200,1452405,1.25263E+11,3.51855E+13,405363347
300,대유플러스,KOSPI,,1505,-5,-0.33,1510,1530,1480,2429040,3655757970,1.82103E+11,120998774
320,노루홀딩스,KOSPI,,13050,250,1.95,13000,13050,12800,27348,354260200,1.7345E+11,13291151
325,노루홀딩스우,KOSPI,,44000,350,0.8,44050,44050,43500,3730,163280000,8151000000,185250
370,한화손해보험,KOSPI,,4150,45,1.1,4145,4165,4080,358552,1477854565,4.84466E+11,116738915
390,삼화페인트,KOSPI,,10250,50,0.49,10600,10600,10150,71879,739699450,2.78836E+11,27203469
400,롯데손해보험,KOSPI,,1805,-5,-0.28,1810,1810,1765,543791,971307310,5.60157E+11,310336320
430,대원강업,KOSPI,,4140,180,4.55,3960,4190,3945,676569,2788976375,2.5668E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,16750,0,0,16750,17050,16550,45633,766846200,1.04304E+11,6227130
480,조선내화,KOSPI,,87900,400,0.46,87500,88000,87400,1374,120445300,3.516E+11,4000000
