종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,14850,-250,-1.66,15100,15150,14700,434593,6472197000,4.14782E+11,27931470
40,KR모터스,KOSPI,,997,0,0,998,1005,993,319624,318728762,95848955896,96137368
50,경방,KOSPI,,13700,-100,-0.72,14050,14150,13700,29630,411927750,3.75589E+11,27415270
60,메리츠화재,KOSPI,,29550,100,0.34,29350,29850,29350,165442,4900520700,3.56447E+12,120625000
70,삼양홀딩스,KOSPI,,105500,0,0,105500,106500,104000,22406,2354100500,9.03531E+11,8564271
75,삼양홀딩스우,KOSPI,,67900,-1000,-1.45,69900,69900,67700,354,24091700,20645538200,304058
80,하이트진로,KOSPI,,33450,-350,-1.04,33750,33900,33000,299563,9985413000,2.34597E+12,70133611
87,하이트진로2우B,KOSPI,,20450,-150,-0.73,20600,20650,20250,1720,35080950,23111322100,1130138
100,유한양행,KOSPI,,60600,-500,-0.82,61200,61400,60100,146601,8858674600,4.24036E+12,69972959
105,유한양행우,KOSPI,,59000,100,0.17,58900,59500,58500,351,20632200,69675460000,1180940
120,CJ대한통운,KOSPI,,144500,-500,-0.34,145000,146000,143000,20873,3010049500,3.29638E+12,22812344
140,하이트진로홀딩스,KOSPI,,14350,-300,-2.05,14600,14600,14250,18506,265456500,3.33017E+11,23206765
145,하이트진로홀딩스우,KOSPI,,17400,-150,-0.85,17950,17950,17150,1038,17997450,8192094000,470810
150,두산,KOSPI,,133500,8000,6.37,126000,134500,124000,183544,23701322000,2.20593E+12,16523835
155,두산우,KOSPI,,82900,2500,3.11,80400,83000,79500,12134,989950100,3.31307E+11,3996462
157,두산2우B,KOSPI,,132500,-500,-0.38,134500,134500,128000,7191,938530500,1.18328E+11,893038
180,성창기업지주,KOSPI,,2525,-15,-0.59,2525,2545,2485,134681,338127670,1.76123E+11,69751600
210,DL,KOSPI,,63900,-1400,-2.14,65700,65800,63400,198892,12719920300,1.33908E+12,20955884
215,DL우,KOSPI,,39900,-450,-1.12,40700,40700,39450,4792,190544150,67275988500,1686115
220,유유제약,KOSPI,,7300,-20,-0.27,7360,7390,7230,60591,441025700,1.25796E+11,17232351
225,유유제약1우,KOSPI,,9960,-190,-1.87,10000,10050,9960,6088,60823080,22578622800,2266930
227,유유제약2우B,KOSPI,,22200,-950,-4.1,23150,23150,22200,377,8415350,7227432000,325560
230,일동홀딩스,KOSPI,,13400,-50,-0.37,13300,13500,13200,18705,248864000,1.54641E+11,11540400
240,한국앤컴퍼니,KOSPI,,17300,-450,-2.54,17750,17800,17050,223713,3876788300,1.64238E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,50400,-200,-0.4,50600,51200,50000,78141,3938616400,1.14751E+12,22768041
270,기아,KOSPI,,88000,1000,1.15,88300,89400,87600,2934816,2.59649E+11,3.5672E+13,405363347
300,대유플러스,KOSPI,,1455,-55,-3.64,1505,1535,1450,3844575,5698272500,1.76053E+11,120998774
320,노루홀딩스,KOSPI,,12400,100,0.81,12300,12600,12300,45949,572831700,1.6481E+11,13291151
325,노루홀딩스우,KOSPI,,48000,600,1.27,49150,52700,48000,23908,1204334500,8892000000,185250
370,한화손해보험,KOSPI,,4295,-160,-3.59,4425,4425,4275,711051,3070467470,5.01394E+11,116738915
390,삼화페인트,KOSPI,,9630,-260,-2.63,10050,10050,9540,55643,544390680,2.61969E+11,27203469
400,롯데손해보험,KOSPI,,1845,-35,-1.86,1875,1890,1840,192601,357797090,5.72571E+11,310336320
430,대원강업,KOSPI,,4070,15,0.37,4060,4110,4030,163956,666413180,2.5234E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,17800,-700,-3.78,18500,18500,17750,38902,701307050,1.10843E+11,6227130
480,조선내화,KOSPI,,88000,0,0,88000,88100,87500,625,54838100,3.52E+11,4000000
490,대동,KOSPI,,9890,-260,-2.56,10100,10200,9860,219497,2189292180,2.34672E+11,23728210
500,가온전선,KOSPI,,27250,-650,-2.33,27750,28100,27200,19894,547042200,1.13369E+11,4160347
520,삼일제약,KOSPI,,8000,-90,-1.11,8090,8130,7990,32279,258922780,1.08298E+11,13537283
540,흥국화재,KOSPI,,3955,135,3.53,3795,3995,3710,83281,318332140,2.5408E+11,64242645
545,흥국화재우,KOSPI,,8570,-130,-1.49,8700,8700,8540,988,8514770,6581760000,768000
547,흥국화재2우B,KOSPI,,27800,-300,-1.07,27600,27850,27600,192,5323000,4270080000,153600
590,CS홀딩스,KOSPI,,64300,-500,-0.77,64700,64700,63500,1168,74942600,74233192600,1154482
640,동아쏘시오홀딩스,KOSPI,,108000,500,0.47,107500,108000,105000,13978,1484194000,6.85531E+11,6347506
650,천일고속,KOSPI,,68800,-200,-0.29,68600,69000,68100,816,55818000,98330336000,1429220
660,SK하이닉스,KOSPI,,107000,1000,0.94,108000,108500,105500,2523345,2.70381E+11,7.78963E+13,728002365
670,영풍,KOSPI,,684000,-3000,-0.44,688000,699000,680000,1052,723975000,1.25996E+12,1842040
680,LS네트웍스,KOSPI,,3260,-140,-4.12,3375,3375,3245,211411,700226870,2.56898E+11,78803016
700,유수홀딩스,KOSPI,,5850,-30,-0.51,5880,5920,5830,19409,113771680,1.52345E+11,26041812
720,현대건설,KOSPI,,50600,-1000,-1.94,50800,51400,50100,488915,24700934000,5.6346E+12,111355765
725,현대건설우,KOSPI,,86100,-10400,-10.78,90500,90500,85000,100030,8813779500,90809067300,1054693
760,이화산업,KOSPI,,16550,-150,-0.9,16700,16700,16200,3100,50756850,46340000000,2800000
810,삼성화재,KOSPI,,225000,-4000,-1.75,230500,231000,223500,113523,25603093000,1.06593E+13,47374837
815,삼성화재우,KOSPI,,174000,0,0,174000,174000,171000,10623,1830050000,5.55408E+11,3192000
850,화천기공,KOSPI,,35150,-650,-1.82,35500,35800,35100,8986,317500200,77330000000,2200000
860,강남제비스코,KOSPI,,24250,-150,-0.61,24250,24600,24100,7121,172769700,1.57625E+11,6500000
880,한화,KOSPI,,32450,150,0.46,32500,32700,32050,237481,7682896550,2.43241E+12,74958735
885,한화우,KOSPI,,38300,500,1.32,38200,38400,37600,968,37019150,18356960200,479294
890,보해양조,KOSPI,,956,-14,-1.44,976,976,956,1282073,1233822775,1.31942E+11,138014479
910,유니온,KOSPI,,8690,-530,-5.75,9220,9380,8480,5323560,47388759290,1.35665E+11,15611619
950,전방,KOSPI,,40250,0,0,39950,40450,39850,1248,50053000,67620000000,1680000
970,한국주철관,KOSPI,,9590,-270,-2.74,9850,9880,9500,107388,1035613440,2.18657E+11,22800500
990,DB하이텍,KOSPI,,59100,300,0.51,60000,60600,58800,726197,43308256000,2.62396E+12,44398588
995,DB하이텍1우,KOSPI,,99000,-500,-0.5,102000,102000,99000,298,29659200,11119284000,112316
1000,신라섬유,KOSDAQ,중견기업부,2410,-20,-0.82,2405,2460,2405,81778,198140485,58508871400,24277540
1020,페이퍼코리아,KOSPI,,1705,0,0,1680,1720,1640,108900,182442730,69534771185,40782857
1040,CJ,KOSPI,,97300,-500,-0.51,98000,98300,96100,48686,4710913900,2.83892E+12,29176998
1045,CJ우,KOSPI,,60500,-700,-1.14,61200,61200,60500,566,34305900,1.36743E+11,2260223
1060,JW중외제약,KOSPI,,22800,-500,-2.15,23050,23300,22600,41906,955534500,4.9111E+11,21539926
1065,JW중외제약우,KOSPI,,33950,1300,3.98,32800,34000,32150,367,12065800,6025649700,177486
1067,JW중외제약2우B,KOSPI,,58000,1000,1.75,59500,59500,57000,75,4324300,5395624000,93028
1070,대한방직,KOSPI,,46300,300,0.65,46000,47000,45750,5124,235819650,2.4539E+11,5300000
1080,만호제강,KOSPI,,21450,350,1.66,21100,21650,20800,14784,309224450,89017500000,4150000
1120,LX인터내셔널,KOSPI,,26400,100,0.38,26350,27600,25750,867912,23048176100,1.02326E+12,38760000
1130,대한제분,KOSPI,,161500,-2000,-1.22,163000,164500,161000,1806,293115000,2.72935E+11,1690000
1140,국보,KOSPI,,2120,-25,-1.17,2165,2220,2085,4146527,8966447725,1.29459E+11,61065541
1200,유진투자증권,KOSPI,,3750,-50,-1.32,3790,3815,3715,129200,483624225,3.63249E+11,96866418
1210,금호전기,KOSPI,,3635,85,2.39,3515,3640,3515,97055,349033835,69742683955,19186433
1230,동국제강,KOSPI,,16000,-850,-5.04,16800,16950,15800,1324377,21303348150,1.52692E+12,95432737
1250,GS글로벌,KOSPI,,2615,0,0,2625,2675,2535,803142,2095122630,2.15826E+11,82533764
1260,남광토건,KOSPI,,14700,150,1.03,14500,14950,14450,28457,416892800,1.44485E+11,9828901
1270,부국증권,KOSPI,,24450,-100,-0.41,24550,24600,24200,6828,166036950,2.53544E+11,10369886
1275,부국증권우,KOSPI,,22800,-350,-1.51,23050,23050,22750,1677,38321900,68400000000,3000000
1290,상상인증권,KOSPI,,1205,-5,-0.41,1210,1220,1195,156188,188316750,1.16968E+11,97069134
1340,백광산업,KOSPI,,5390,-140,-2.53,5540,5580,5310,494574,2696921830,2.4211E+11,44918407
1360,삼성제약,KOSPI,,5220,10,0.19,5220,5310,5160,547960,2875083150,3.50586E+11,67162079
1380,SG글로벌,KOSPI,,2125,45,2.16,2065,2125,2055,112648,234581495,95548803875,44964143
