종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,14500,-50,-0.34,14500,14600,14250,163110,2355000100,4.05006E+11,27931470
40,KR모터스,KOSPI,,998,13,1.32,995,1025,995,329918,331563126,95945093264,96137368
50,경방,KOSPI,,13800,0,0,13800,13900,13650,14149,194188350,3.78331E+11,27415270
60,메리츠화재,KOSPI,,29700,500,1.71,29200,29750,29100,143822,4258975150,3.58256E+12,120625000
70,삼양홀딩스,KOSPI,,108000,6500,6.4,104500,109500,103500,48639,5214706500,9.24941E+11,8564271
75,삼양홀딩스우,KOSPI,,70100,1300,1.89,69000,70800,69000,394,27520100,21314465800,304058
80,하이트진로,KOSPI,,34200,-150,-0.44,34050,34350,33900,157553,5374232100,2.39857E+12,70133611
87,하이트진로2우B,KOSPI,,20250,0,0,20300,20350,20150,714,14426900,22885294500,1130138
100,유한양행,KOSPI,,59900,-300,-0.5,59700,60400,59100,146918,8808636600,4.19138E+12,69972959
105,유한양행우,KOSPI,,58700,0,0,59100,59100,58500,285,16701600,69321178000,1180940
120,CJ대한통운,KOSPI,,140500,500,0.36,139000,142000,137000,21419,3006321500,3.20513E+12,22812344
140,하이트진로홀딩스,KOSPI,,14100,-150,-1.05,14150,14250,13900,23845,333948850,3.27215E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16600,50,0.3,16750,16750,16450,278,4574100,7815446000,470810
150,두산,KOSPI,,138000,500,0.36,136500,140500,131000,149715,20348127500,2.28029E+12,16523835
155,두산우,KOSPI,,84900,200,0.24,85000,85300,82400,4499,377511300,3.393E+11,3996462
157,두산2우B,KOSPI,,127000,500,0.4,126500,128000,124500,1215,153211000,1.13416E+11,893038
180,성창기업지주,KOSPI,,2515,-10,-0.4,2530,2555,2495,123005,311227735,1.75425E+11,69751600
210,DL,KOSPI,,63800,-1000,-1.54,64400,65200,63700,86043,5521871200,1.33699E+12,20955884
