종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,9420,-560,-5.61,9890,9890,9390,155423,1487411940,2.63E+11,27931470
30,우리은행,KOSPI,,16050,250,1.58,15800,16050,15750,737752,11783093050,1.08E+13,676000000
40,KR모터스,KOSPI,,525,-3,-0.57,528,537,524,160559,85148810,67715597250,128982090
50,경방,KOSPI,,11500,-150,-1.29,11500,11700,11450,16402,189063600,3.15E+11,27415270
60,메리츠화재,KOSPI,,20550,1850,9.89,18800,21200,18750,1190128,23532369850,2.34E+12,113680000
70,삼양홀딩스,KOSPI,,77000,-800,-1.03,78400,78500,73700,37607,2857440500,6.59E+11,8564271
75,삼양홀딩스우,KOSPI,,47700,0,0,47700,47700,47700,5,238500,14503566600,304058
80,하이트진로,KOSPI,,15750,50,0.32,15700,15800,15550,143256,2245211300,1.10E+12,70133611
87,하이트진로2우B,KOSPI,,14350,-50,-0.35,14550,14550,14250,1122,16051550,16217480300,1130138
100,유한양행,KOSPI,,233500,-1500,-0.64,231500,238500,228000,268194,62796475000,2.85E+12,12209354
105,유한양행우,KOSPI,,224000,-12000,-5.08,232000,239000,223500,5277,1209894500,52906112000,236188
120,CJ대한통운,KOSPI,,148000,-7500,-4.82,155500,157000,147000,78325,11765881000,3.38E+12,22812344
140,하이트진로홀딩스,KOSPI,,6640,0,0,6570,6810,6560,8173,54498160,1.54E+11,23206765
145,하이트진로홀딩스우,KOSPI,,7860,60,0.77,7800,7900,7800,473,3733610,3700566600,470810
150,두산,KOSPI,,126000,1500,1.2,123000,126000,123000,26515,3313943500,2.42E+12,19198003
155,두산우,KOSPI,,78200,0,0,77900,78400,77900,1210,94499200,3.45E+11,4411074
157,두산2우B,KOSPI,,79500,1600,2.05,77900,79500,77000,122,9507100,78361957500,985685
180,성창기업지주,KOSPI,,2090,0,0,2050,2105,2050,106823,221598235,1.46E+11,69751600
210,대림산업,KOSPI,,80900,2400,3.06,78400,80900,78100,140289,11251501000,2.82E+12,34800000
215,대림산업우,KOSPI,,31300,550,1.79,30700,31650,30650,7139,224199050,1.19E+11,3800000
220,유유제약,KOSPI,,11400,-450,-3.8,11650,11750,11400,28099,325418600,72601891800,6368587
225,유유제약1우,KOSPI,,7310,10,0.14,7270,7330,7130,5643,40741370,8285629150,1133465
227,유유제약2우B,KOSPI,,17750,400,2.31,17750,17750,17750,81,1405750,2912420000,164080
230,일동홀딩스,KOSPI,,12950,50,0.39,12950,13000,12700,1706,21974150,1.36E+11,10490296
240,한국타이어월드와이드,KOSPI,,16200,400,2.53,16000,16200,15900,33970,544953100,1.51E+12,93020173
250,삼천당제약,KOSDAQ,우량기업부,33700,-1300,-3.71,34100,34200,33200,252505,8521393550,7.45E+11,22105813
270,기아차,KOSPI,,28250,-600,-2.08,28900,29150,28100,624865,17717891150,1.15E+13,405363347
300,대유플러스,KOSPI,,911,-33,-3.5,942,945,902,1189622,1086936143,91721721060,100682460
320,노루홀딩스,KOSPI,,12000,-100,-0.83,12000,12050,11900,816,9759200,1.59E+11,13291151
325,노루홀딩스우,KOSPI,,17750,350,2.01,17100,17750,17000,10,174650,3288187500,185250
370,한화손해보험,KOSPI,,6320,250,4.12,6020,6320,6020,313144,1952390880,7.38E+11,116738915
390,삼화페인트,KOSPI,,6180,-50,-0.8,6150,6300,6080,63930,394259830,1.63E+11,26438751
400,롯데손해보험,KOSPI,,2750,130,4.96,2620,2875,2600,374200,1014960510,3.69E+11,134280000
430,대원강업,KOSPI,,3610,0,0,3595,3625,3590,4097,14756725,2.24E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,39500,150,0.38,38900,39700,38000,3876,149428950,49194327000,1245426
480,조선내화,KOSPI,,82700,-300,-0.36,83000,83000,81400,352,28764500,3.31E+11,4000000
490,대동공업,KOSPI,,5700,-200,-3.39,5900,5900,5650,27101,155202710,1.35E+11,23728210
500,가온전선,KOSPI,,16900,-250,-1.46,17600,17600,16800,4284,73077050,70309864300,4160347
520,삼일제약,KOSPI,,24700,-600,-2.37,24300,25350,24200,154851,3849601150,1.61E+11,6500000
540,흥국화재,KOSPI,,5160,30,0.58,5200,5200,5050,23527,120823000,3.31E+11,64242645
545,흥국화재우,KOSPI,,6570,380,6.14,6480,7440,6210,256695,1781935200,5045760000,768000
547,흥국화재2우B,KOSPI,,33750,550,1.66,33500,35500,32700,31962,1100776850,5184000000,153600
590,CS홀딩스,KOSPI,,61200,-700,-1.13,61800,61800,60100,171,10320500,70654298400,1154482
640,동아쏘시오홀딩스,KOSPI,,93700,0,0,95400,95400,92700,5034,470535600,5.75E+11,6138294
650,천일고속,KOSPI,,83900,200,0.24,83700,85500,83100,412,34673700,1.20E+11,1429220
660,SK하이닉스,KOSPI,,74500,1600,2.19,72200,74500,71800,3328433,2.45E+11,5.42E+13,728002365
670,영풍,KOSPI,,690000,13000,1.92,690000,690000,670000,609,415771000,1.27E+12,1842040
680,LS네트웍스,KOSPI,,2590,-5,-0.19,2595,2610,2565,3157,8191245,2.04E+11,78803016
700,유수홀딩스,KOSPI,,6350,-30,-0.47,6220,6350,6220,17447,109396400,1.65E+11,26041812
720,현대건설,KOSPI,,51300,400,0.79,50000,52400,49900,672820,34634686850,5.71E+12,111355765
725,현대건설우,KOSPI,,150500,-1000,-0.66,151000,157000,147500,1405,212540500,14877828000,98856
760,이화산업,KOSPI,,20200,-950,-4.49,21200,21250,20200,1032,21147800,56560000000,2800000
810,삼성화재,KOSPI,,287500,7500,2.68,282000,289500,278500,90547,25792781500,1.36E+13,47374837
815,삼성화재우,KOSPI,,182500,1000,0.55,179500,183500,179500,10735,1954409500,5.83E+11,3192000
850,화천기공,KOSPI,,42400,1400,3.41,40350,42750,40350,2578,108560950,93280000000,2200000
860,강남제비스코,KOSPI,,24500,0,0,24500,24550,24250,1103,26918350,1.59E+11,6500000
880,한화,KOSPI,,29400,100,0.34,28950,29450,28850,85594,2506277750,2.20E+12,74958735
885,한화우,KOSPI,,21300,200,0.95,21100,21700,20500,10267,216853700,10208962200,479294
890,보해양조,KOSPI,,1335,-105,-7.29,1415,1435,1335,9926583,13841160545,1.29E+11,96570546
910,유니온,KOSPI,,3775,-95,-2.45,3860,3860,3740,159483,603795180,58933861725,15611619
950,전방,KOSPI,,17350,-100,-0.57,17400,17400,17000,301,5172250,29148000000,1680000
970,한국주철관,KOSPI,,9860,80,0.82,9640,9980,9550,41488,406259540,2.25E+11,22800500
990,DB하이텍,KOSPI,,12200,-100,-0.81,12200,12450,11950,261919,3187966700,5.42E+11,44398588
995,DB하이텍1우,KOSPI,,35500,1150,3.35,34400,35700,34400,103,3655500,3987218000,112316
1000,신라섬유,KOSDAQ,중견기업부,2255,-10,-0.44,2245,2300,2245,58485,132748075,54745852700,24277540
1020,페이퍼코리아,KOSPI,,857,-1,-0.12,858,885,843,116750,100952303,46463939862,54216966
1040,CJ,KOSPI,,121000,2000,1.68,118000,122500,117500,94112,11311024500,3.53E+12,29176998
1045,CJ우,KOSPI,,54700,900,1.67,53500,55000,52500,2526,136750700,1.24E+11,2260223
1060,JW중외제약,KOSPI,,34500,-550,-1.57,34700,35450,34400,61529,2142042600,6.83E+11,19805460
1065,JW중외제약우,KOSPI,,25100,300,1.21,24000,25250,24000,737,18244100,4119186100,164111
1067,JW중외제약2우B,KOSPI,,40700,-200,-0.49,42850,42850,40300,145,5906250,3504188600,86098
1070,대한방직,KOSPI,,13550,0,0,13500,13700,13300,19597,265074350,71815000000,5300000
1080,만호제강,KOSPI,,16750,-650,-3.74,16900,17100,16700,2510,42224300,69512500000,4150000
1120,LG상사,KOSPI,,16600,50,0.3,16500,16900,16400,100471,1668340950,6.43E+11,38760000
1130,대한제분,KOSPI,,172500,2500,1.47,170000,172500,170000,497,84995000,2.92E+11,1690000
1140,국보,KOSPI,,10350,-250,-2.36,10250,10550,10250,3894,40401800,17411846400,1682304
1200,유진투자증권,KOSPI,,2550,5,0.2,2505,2560,2505,257597,653088070,2.47E+11,96866418
1210,금호전기,KOSPI,,6530,-60,-0.91,6590,6590,6450,13726,89412640,45556989040,6976568
1230,동국제강,KOSPI,,7550,-230,-2.96,7770,7770,7500,296901,2252587300,7.21E+11,95432737
1250,GS글로벌,KOSPI,,2480,-15,-0.6,2490,2515,2465,150760,375535915,2.05E+11,82533764
1260,남광토건,KOSPI,,13900,-400,-2.8,13850,14450,13850,23270,327668600,1.37E+11,9826075
1270,부국증권,KOSPI,,22000,-150,-0.68,22000,22150,21900,892,19631700,2.28E+11,10369886
1275,부국증권우,KOSPI,,19650,0,0,19700,19700,19650,286,5623350,58950000000,3000000
1290,골든브릿지증권,KOSPI,,1965,-15,-0.76,1940,1985,1915,174678,339445095,99612902385,50693589
