종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,13450,-350,-2.54,13900,13900,13450,344250,4683118050,3.75678E+11,27931470
40,KR모터스,KOSPI,,942,0,0,947,958,941,174731,165092688,90561400656,96137368
50,경방,KOSPI,,13600,-50,-0.37,13650,13700,13450,28195,381402200,3.72848E+11,27415270
60,메리츠화재,KOSPI,,30750,1100,3.71,29850,30950,29850,405028,12425354900,3.70922E+12,120625000
70,삼양홀딩스,KOSPI,,101000,500,0.5,100500,102000,100500,10121,1021321500,8.64991E+11,8564271
75,삼양홀딩스우,KOSPI,,69300,-500,-0.72,69400,69400,68600,105,7222800,21071219400,304058
80,하이트진로,KOSPI,,32700,-50,-0.15,32800,32800,32250,268380,8698411650,2.29337E+12,70133611
87,하이트진로2우B,KOSPI,,19850,-100,-0.5,19950,19950,19700,1809,35770750,22433239300,1130138
100,유한양행,KOSPI,,59700,100,0.17,59300,60400,59200,113404,6787682800,4.17739E+12,69972959
105,유한양행우,KOSPI,,58400,-200,-0.34,58500,58600,58400,505,29536600,68966896000,1180940
120,CJ대한통운,KOSPI,,135000,0,0,135000,136000,133500,28007,3773869000,3.07967E+12,22812344
140,하이트진로홀딩스,KOSPI,,13500,-250,-1.82,13750,13800,13450,17482,236973500,3.13291E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16000,-400,-2.44,16450,16450,15900,627,9994750,7532960000,470810
150,두산,KOSPI,,127000,-500,-0.39,129500,131500,122000,73252,9266189500,2.09853E+12,16523835
155,두산우,KOSPI,,78500,-300,-0.38,78800,80300,77300,3280,259410000,3.13722E+11,3996462
157,두산2우B,KOSPI,,117000,1500,1.3,116500,117000,114500,673,77864500,1.04485E+11,893038
180,성창기업지주,KOSPI,,2435,-25,-1.02,2465,2465,2410,89394,216945930,1.69845E+11,69751600
210,DL,KOSPI,,61100,-300,-0.49,61100,62000,60700,60067,3674550400,1.2804E+12,20955884
215,DL우,KOSPI,,37700,-100,-0.26,38600,38600,37450,1390,52241650,63566535500,1686115
220,유유제약,KOSPI,,6970,50,0.72,6920,7090,6920,92528,649931580,1.20109E+11,17232351
225,유유제약1우,KOSPI,,9170,-30,-0.33,9020,9230,9020,2552,23296360,20787748100,2266930
227,유유제약2우B,KOSPI,,18000,-300,-1.64,18300,18500,18000,426,7714500,5860080000,325560
230,일동홀딩스,KOSPI,,13900,-100,-0.71,14100,14200,13650,12304,170416650,1.60412E+11,11540400
240,한국앤컴퍼니,KOSPI,,16000,-50,-0.31,16100,16450,15800,93702,1491840600,1.51896E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,45650,1050,2.35,44200,46050,44200,116949,5285183550,1.03936E+12,22768041
270,기아,KOSPI,,83400,-300,-0.36,83700,83900,82800,1249518,1.03972E+11,3.38073E+13,405363347
300,대유플러스,KOSPI,,1585,55,3.59,1525,1600,1510,3960576,6198237980,1.91783E+11,120998774
320,노루홀딩스,KOSPI,,12750,-150,-1.16,12900,12950,12500,19585,247959000,1.69462E+11,13291151
325,노루홀딩스우,KOSPI,,39650,-750,-1.86,40400,41100,39100,2552,100851700,7345162500,185250
370,한화손해보험,KOSPI,,4035,-30,-0.74,4090,4105,4010,292541,1181250750,4.71042E+11,116738915
390,삼화페인트,KOSPI,,9500,-10,-0.11,9410,9700,9300,47680,448774280,2.58433E+11,27203469
400,롯데손해보험,KOSPI,,1770,20,1.14,1760,1780,1760,118022,208546675,5.49295E+11,310336320
430,대원강업,KOSPI,,4010,15,0.38,4090,4090,3960,138487,552610790,2.4862E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,15800,-400,-2.47,17000,17050,15550,72412,1172042100,98388654000,6227130
480,조선내화,KOSPI,,84700,300,0.36,85800,86700,84700,1733,148104800,3.388E+11,4000000
490,대동,KOSPI,,10100,210,2.12,10100,10250,9950,319804,3219009160,2.39655E+11,23728210
500,가온전선,KOSPI,,24900,350,1.43,24450,24900,24200,7894,192772450,1.03593E+11,4160347
520,삼일제약,KOSPI,,7700,-20,-0.26,7760,7760,7670,27901,214876670,1.04237E+11,13537283
540,흥국화재,KOSPI,,3775,10,0.27,3780,3850,3720,24134,90502515,2.42516E+11,64242645
545,흥국화재우,KOSPI,,8150,10,0.12,8140,8200,8100,653,5330670,6259200000,768000
547,흥국화재2우B,KOSPI,,26550,-50,-0.19,26600,26600,26000,157,4102100,4078080000,153600
590,CS홀딩스,KOSPI,,60900,0,0,60800,61500,60700,2515,153621000,70307953800,1154482
640,동아쏘시오홀딩스,KOSPI,,111000,4000,3.74,108000,111500,107500,22059,2423601000,7.04573E+11,6347506
650,천일고속,KOSPI,,66200,-100,-0.15,66300,66500,66000,313,20717500,94614364000,1429220
660,SK하이닉스,KOSPI,,119500,500,0.42,120500,122500,118000,4001111,4.79195E+11,8.69963E+13,728002365
670,영풍,KOSPI,,647000,-3000,-0.46,645000,652000,641000,859,554795000,1.1918E+12,1842040
680,LS네트웍스,KOSPI,,3090,-5,-0.16,3140,3155,3055,42872,132933105,2.43501E+11,78803016
700,유수홀딩스,KOSPI,,6050,20,0.33,6010,6100,6000,63168,381950620,1.57553E+11,26041812
720,현대건설,KOSPI,,48100,200,0.42,48300,49400,47850,584929,28286740650,5.35621E+12,111355765
725,현대건설우,KOSPI,,80200,200,0.25,80000,81200,80000,5093,410334900,84586378600,1054693
760,이화산업,KOSPI,,15850,-150,-0.94,15850,15950,15800,1886,29890800,44380000000,2800000
810,삼성화재,KOSPI,,217000,3000,1.4,214500,219000,214500,99046,21437776000,1.02803E+13,47374837
815,삼성화재우,KOSPI,,178500,2000,1.13,177500,179500,176500,10004,1779665000,5.69772E+11,3192000
850,화천기공,KOSPI,,34650,-600,-1.7,35100,35250,34550,3902,136064500,76230000000,2200000
860,강남제비스코,KOSPI,,22600,0,0,22600,22800,22500,11393,257656950,1.469E+11,6500000
880,한화,KOSPI,,32550,-50,-0.15,32550,32900,32250,250494,8137872100,2.43991E+12,74958735
885,한화우,KOSPI,,36150,300,0.84,36250,36250,36050,1123,40573800,17326478100,479294
890,보해양조,KOSPI,,907,-2,-0.22,913,913,898,583683,527006660,1.25179E+11,138014479
910,유니온,KOSPI,,7140,-130,-1.79,7190,7370,7100,397094,2852553490,1.11467E+11,15611619
