종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,10150,320,3.26,9820,10250,9790,402076,4036046160,2.83504E+11,27931470
30,우리은행,KOSPI,,15600,-300,-1.89,15700,15950,15600,1786805,28103894450,1.05456E+13,676000000
40,KR모터스,KOSPI,,406,-7,-1.69,413,413,402,546614,221230956,76435801120,188265520
50,경방,KOSPI,,14500,-300,-2.03,14650,14800,14500,11431,166726650,3.97521E+11,27415270
60,메리츠화재,KOSPI,,25250,-150,-0.59,25250,25250,25050,154655,3888768400,2.78603E+12,110338000
70,삼양홀딩스,KOSPI,,92700,-800,-0.86,93800,94500,92600,11057,1030070700,7.93908E+11,8564271
75,삼양홀딩스우,KOSPI,,59000,1500,2.61,57500,60000,57000,6272,365642500,17939422000,304058
80,하이트진로,KOSPI,,25450,-300,-1.17,25600,25900,25200,149812,3804100150,1.7849E+12,70133611
87,하이트진로2우B,KOSPI,,18750,0,0,18750,18800,18500,4307,80024350,21190087500,1130138
100,유한양행,KOSPI,,209000,-2500,-1.18,211500,211500,208500,29237,6120500000,2.43817E+12,11665896
105,유한양행우,KOSPI,,170500,500,0.29,171500,171500,167500,22,3746000,40270054000,236188
120,CJ대한통운,KOSPI,,151500,-2500,-1.62,154000,154500,151000,55222,8387985000,3.45607E+12,22812344
140,하이트진로홀딩스,KOSPI,,10600,-50,-0.47,10650,10750,10450,20344,216237000,2.45992E+11,23206765
145,하이트진로홀딩스우,KOSPI,,10000,50,0.5,10250,10250,9870,614,6132630,4708100000,470810
150,두산,KOSPI,,138000,2000,1.47,136000,139500,136000,24368,3372685500,2.78866E+12,20207688
155,두산우,KOSPI,,81300,-600,-0.73,81900,81900,81200,989,80598700,3.5862E+11,4411074
157,두산2우B,KOSPI,,80300,-100,-0.12,79400,80700,79400,31,2480400,79150505500,985685
180,성창기업지주,KOSPI,,2670,0,0,2665,2680,2640,55219,146676605,1.86237E+11,69751600
210,대림산업,KOSPI,,88800,-400,-0.45,88900,91400,88400,187709,16782161500,3.09024E+12,34800000
215,대림산업우,KOSPI,,36000,150,0.42,36100,36200,35450,9409,337084950,1.368E+11,3800000
220,유유제약,KOSPI,,12350,-250,-1.98,12550,12550,12250,69847,861952500,76093364100,6161406
