종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,14350,-550,-3.69,14800,15000,14200,758616,10967295850,4.00817E+11,27931470
40,KR모터스,KOSPI,,985,-3,-0.3,998,1000,979,230532,227814667,94695307480,96137368
50,경방,KOSPI,,13650,-200,-1.44,13900,13900,13650,6591,90619950,3.74218E+11,27415270
60,메리츠화재,KOSPI,,29850,-150,-0.5,30000,30350,29550,178042,5334493800,3.60066E+12,120625000
70,삼양홀딩스,KOSPI,,102500,-1000,-0.97,103500,105000,100500,41022,4206960500,8.77838E+11,8564271
75,삼양홀딩스우,KOSPI,,67700,0,0,69900,69900,67100,254,17112700,20584726600,304058
80,하이트진로,KOSPI,,34350,-450,-1.29,34600,34800,34150,213399,7332393650,2.40909E+12,70133611
87,하이트진로2우B,KOSPI,,20700,-50,-0.24,20800,20800,20500,641,13241750,23393856600,1130138
100,유한양행,KOSPI,,60300,100,0.17,60100,61100,60000,98377,5933257100,4.21937E+12,69972959
105,유한양행우,KOSPI,,58600,100,0.17,58200,58600,58200,648,37856600,69203084000,1180940
120,CJ대한통운,KOSPI,,141000,-2500,-1.74,144000,145500,139500,44971,6357598000,3.21654E+12,22812344
140,하이트진로홀딩스,KOSPI,,14650,0,0,14650,14700,14450,5075,73906150,3.39979E+11,23206765
145,하이트진로홀딩스우,KOSPI,,17250,-150,-0.86,17600,17600,17150,201,3453850,8121472500,470810
150,두산,KOSPI,,140000,7500,5.66,131500,143000,131500,205635,28385677000,2.31334E+12,16523835
155,두산우,KOSPI,,85500,2100,2.52,83300,86400,81500,12671,1064822200,3.41698E+11,3996462
157,두산2우B,KOSPI,,132000,2000,1.54,133500,137500,131000,7180,963295500,1.17881E+11,893038
180,성창기업지주,KOSPI,,2570,-25,-0.96,2590,2595,2525,130377,332490600,1.79262E+11,69751600
210,DL,KOSPI,,65300,200,0.31,64800,66400,64700,56973,3717994900,1.36842E+12,20955884
215,DL우,KOSPI,,40400,-600,-1.46,41000,41000,40200,804,32574850,68119046000,1686115
220,유유제약,KOSPI,,7060,-50,-0.7,7080,7160,7040,67253,475836850,1.2166E+11,17232351
225,유유제약1우,KOSPI,,9620,-140,-1.43,9830,9860,9500,10731,102822160,21807866600,2266930
227,유유제약2우B,KOSPI,,21350,-400,-1.84,21750,21750,21350,681,14632550,6950706000,325560
230,일동홀딩스,KOSPI,,13050,-200,-1.51,13300,13300,12900,9702,127332000,1.50602E+11,11540400
240,한국앤컴퍼니,KOSPI,,17450,-150,-0.85,17700,17800,17200,137949,2394501750,1.65662E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,49450,850,1.75,48000,50700,48000,115195,5728569300,1.12588E+12,22768041
270,기아,KOSPI,,87000,-1100,-1.25,88300,88900,86200,1253140,1.09123E+11,3.52666E+13,405363347
300,대유플러스,KOSPI,,1505,-55,-3.53,1565,1575,1495,4723992,7195309860,1.82103E+11,120998774
320,노루홀딩스,KOSPI,,12900,-50,-0.39,12950,13100,12750,29791,385558550,1.71456E+11,13291151
325,노루홀딩스우,KOSPI,,47550,-2450,-4.9,48500,49000,47100,4824,231255700,8808637500,185250
