종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,15650,-50,-0.32,15650,15950,15500,408605,6418712450,4.37128E+11,27931470
40,KR모터스,KOSPI,,1010,5,0.5,1015,1020,1000,316099,318960755,97098741680,96137368
50,경방,KOSPI,,13850,550,4.14,13300,13900,13200,31687,432051850,3.79701E+11,27415270
60,메리츠화재,KOSPI,,29250,1400,5.03,27950,29350,27750,248660,7161379200,3.52828E+12,120625000
70,삼양홀딩스,KOSPI,,104500,-1500,-1.42,106500,108000,104500,19132,2027943500,8.94966E+11,8564271
75,삼양홀딩스우,KOSPI,,69400,400,0.58,69300,69400,68900,185,12774200,21101625200,304058
80,하이트진로,KOSPI,,35050,-150,-0.43,35800,35800,34950,315453,11129261250,2.45818E+12,70133611
87,하이트진로2우B,KOSPI,,21050,100,0.48,21050,21100,20750,1077,22586550,23789404900,1130138
100,유한양행,KOSPI,,61700,1700,2.83,60000,62000,60000,197053,12134465800,4.31733E+12,69972959
105,유한양행우,KOSPI,,59000,700,1.2,58800,59400,58800,135,7980500,69675460000,1180940
120,CJ대한통운,KOSPI,,148500,2500,1.71,146500,149500,146000,32006,4761504500,3.38763E+12,22812344
140,하이트진로홀딩스,KOSPI,,15050,100,0.67,15000,15150,14900,14623,219585550,3.49262E+11,23206765
145,하이트진로홀딩스우,KOSPI,,17550,-200,-1.13,17900,17900,17550,770,13614850,8262715500,470810
150,두산,KOSPI,,107000,4000,3.88,103500,109000,102500,89765,9505231000,1.76805E+12,16523835
155,두산우,KOSPI,,75200,1300,1.76,75000,75400,73600,3719,277602300,3.00534E+11,3996462
157,두산2우B,KOSPI,,129500,4500,3.6,125000,129500,124500,5273,670334500,1.15648E+11,893038
180,성창기업지주,KOSPI,,2560,20,0.79,2545,2575,2545,83082,212519155,1.78564E+11,69751600
210,DL,KOSPI,,68000,800,1.19,67300,68400,67300,57845,3936262500,1.425E+12,20955884
215,DL우,KOSPI,,41250,550,1.35,41050,41300,40650,698,28732900,69552243750,1686115
220,유유제약,KOSPI,,7500,180,2.46,7260,7580,7260,102875,768912520,1.29243E+11,17232351
225,유유제약1우,KOSPI,,10100,160,1.61,10000,10150,9950,13744,137685390,22895993000,2266930
227,유유제약2우B,KOSPI,,23550,-300,-1.26,24300,24300,23550,716,17117650,7666938000,325560
230,일동홀딩스,KOSPI,,13600,0,0,13600,13700,13550,6573,89369900,1.56949E+11,11540400
240,한국앤컴퍼니,KOSPI,,17350,750,4.52,16650,17400,16650,130055,2231049150,1.64713E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,48950,-800,-1.61,49500,50100,48100,165369,8139642150,1.1145E+12,22768041
270,기아,KOSPI,,86000,1700,2.02,84300,86100,83700,1381762,1.18192E+11,3.48612E+13,405363347
300,대유플러스,KOSPI,,1395,15,1.09,1380,1420,1370,1240346,1729398085,1.68793E+11,120998774
320,노루홀딩스,KOSPI,,12450,100,0.81,12400,12500,12350,27987,347678350,1.65475E+11,13291151
325,노루홀딩스우,KOSPI,,49500,-4200,-7.82,52000,53000,49400,14085,710696500,9169875000,185250
370,한화손해보험,KOSPI,,4530,75,1.68,4475,4545,4470,217260,982127260,5.28827E+11,116738915
390,삼화페인트,KOSPI,,10000,-200,-1.96,10350,10400,10000,50881,513084400,2.72035E+11,27203469
400,롯데손해보험,KOSPI,,1830,10,0.55,1815,1840,1815,191778,350138740,5.67915E+11,310336320
430,대원강업,KOSPI,,4210,5,0.12,4200,4270,4170,180898,765217130,2.6102E+11,62000000
