종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,14050,150,1.08,13900,14100,13700,207701,2890703300,3.92437E+11,27931470
40,KR모터스,KOSPI,,973,-10,-1.02,983,986,965,237063,231038852,93541659064,96137368
50,경방,KOSPI,,13700,0,0,13600,13700,13400,15033,203448250,3.75589E+11,27415270
60,메리츠화재,KOSPI,,28950,100,0.35,29000,29300,28500,148088,4289828400,3.49209E+12,120625000
70,삼양홀딩스,KOSPI,,103500,-2500,-2.36,106500,107500,102500,25157,2640713000,8.86402E+11,8564271
75,삼양홀딩스우,KOSPI,,70100,100,0.14,71900,71900,69000,40,2779700,21314465800,304058
80,하이트진로,KOSPI,,32850,-650,-1.94,33150,33400,32800,221704,7318654950,2.30389E+12,70133611
87,하이트진로2우B,KOSPI,,19800,-100,-0.5,20000,20200,19700,3627,71720400,22376732400,1130138
100,유한양행,KOSPI,,58800,-300,-0.51,59100,59600,58800,144160,8524184000,4.11441E+12,69972959
105,유한양행우,KOSPI,,58300,-400,-0.68,58200,58500,58200,738,42966500,68848802000,1180940
120,CJ대한통운,KOSPI,,136000,-1500,-1.09,137500,140000,136000,27606,3791940000,3.10248E+12,22812344
140,하이트진로홀딩스,KOSPI,,13650,-150,-1.09,13900,13900,13500,14747,201204500,3.16772E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16100,-100,-0.62,16100,16200,16050,1049,16919200,7580041000,470810
150,두산,KOSPI,,142500,-3000,-2.06,144500,147500,139000,173741,24827776500,2.35465E+12,16523835
155,두산우,KOSPI,,84600,-1900,-2.2,86500,87900,83200,5049,430089900,3.38101E+11,3996462
157,두산2우B,KOSPI,,121000,-3500,-2.81,125000,125000,119500,2071,252316000,1.08058E+11,893038
180,성창기업지주,KOSPI,,2475,-5,-0.2,2470,2480,2415,174603,426276505,1.72635E+11,69751600
210,DL,KOSPI,,61500,600,0.99,61000,62100,60400,116640,7142575800,1.28879E+12,20955884
215,DL우,KOSPI,,38200,-250,-0.65,38250,39000,37850,4193,159396950,64409593000,1686115
220,유유제약,KOSPI,,6830,-120,-1.73,6880,6960,6830,93025,639032010,1.17697E+11,17232351
225,유유제약1우,KOSPI,,9290,-50,-0.54,9400,9400,9190,5369,49533450,21059779700,2266930
227,유유제약2우B,KOSPI,,19200,-500,-2.54,19700,19750,19200,102,1981450,6250752000,325560
230,일동홀딩스,KOSPI,,14000,-300,-2.1,15800,15800,13850,122263,1821374450,1.61566E+11,11540400
240,한국앤컴퍼니,KOSPI,,16300,-200,-1.21,16550,16550,16250,74168,1213028400,1.54744E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,44250,50,0.11,44050,45500,44000,94147,4204320500,1.00749E+12,22768041
270,기아,KOSPI,,83100,-900,-1.07,84400,84400,83000,1480955,1.23636E+11,3.36857E+13,405363347
300,대유플러스,KOSPI,,1495,-25,-1.64,1520,1535,1450,3180599,4743346875,1.80893E+11,120998774
320,노루홀딩스,KOSPI,,13200,100,0.76,13150,13300,12950,27428,360553300,1.75443E+11,13291151
325,노루홀딩스우,KOSPI,,43200,1650,3.97,41550,43500,41550,2283,98069100,8002800000,185250
370,한화손해보험,KOSPI,,4090,-45,-1.09,4125,4135,4045,265249,1080948325,4.77462E+11,116738915
390,삼화페인트,KOSPI,,9940,190,1.95,9790,10100,9700,44307,438830690,2.70402E+11,27203469
400,롯데손해보험,KOSPI,,1795,-15,-0.83,1810,1840,1770,235186,421603875,5.57054E+11,310336320
430,대원강업,KOSPI,,3955,-15,-0.38,3940,3975,3910,159782,629608410,2.4521E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,16100,-100,-0.62,15900,16200,15650,23009,367152700,1.00257E+11,6227130
480,조선내화,KOSPI,,87000,-1000,-1.14,87600,88000,86500,3039,264975200,3.48E+11,4000000
490,대동,KOSPI,,9870,-20,-0.2,9890,9940,9760,88814,875192350,2.34197E+11,23728210
500,가온전선,KOSPI,,25000,-450,-1.77,25450,25600,24800,5785,145538400,1.04009E+11,4160347
520,삼일제약,KOSPI,,7750,-50,-0.64,7880,7880,7730,30066,233223100,1.04914E+11,13537283
540,흥국화재,KOSPI,,3755,5,0.13,3710,3785,3700,40233,149988045,2.41231E+11,64242645
545,흥국화재우,KOSPI,,8450,-40,-0.47,8550,8550,8400,295,2496500,6489600000,768000
547,흥국화재2우B,KOSPI,,26850,-150,-0.56,27300,27300,26750,51,1368850,4124160000,153600
590,CS홀딩스,KOSPI,,60900,-1700,-2.72,62600,62600,60700,3131,191853500,70307953800,1154482
640,동아쏘시오홀딩스,KOSPI,,103500,1500,1.47,102000,104500,100000,11187,1145377500,6.56967E+11,6347506
650,천일고속,KOSPI,,66100,-100,-0.15,65900,67400,65500,438,28961100,94471442000,1429220
660,SK하이닉스,KOSPI,,110000,-500,-0.45,110000,111000,109000,1928891,2.12342E+11,8.00803E+13,728002365
