종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
910,유니온,KOSPI,,7690,-80,-1.03,7670,7990,7540,1433303,11147020960,1.20053E+11,15611619
950,전방,KOSPI,,40250,50,0.12,39650,40300,39000,3054,121093350,67620000000,1680000
970,한국주철관,KOSPI,,9440,0,0,9380,9470,9300,39056,366541070,2.15237E+11,22800500
990,DB하이텍,KOSPI,,59400,-200,-0.34,58700,59600,57700,595227,34941359500,2.63728E+12,44398588
995,DB하이텍1우,KOSPI,,98600,-1200,-1.2,99800,99900,98300,269,26525400,11074357600,112316
1000,신라섬유,KOSDAQ,중견기업부,2225,-65,-2.84,2310,2340,2190,186499,420778430,54017526500,24277540
1020,페이퍼코리아,KOSPI,,1525,-110,-6.73,1625,1645,1500,358395,560285550,62372742475,40900159
1040,CJ,KOSPI,,93000,-3000,-3.13,95200,95600,92000,151803,14151343500,2.71346E+12,29176998
1045,CJ우,KOSPI,,59200,-500,-0.84,59300,59800,58500,1199,70545800,1.33805E+11,2260223
1060,JW중외제약,KOSPI,,23300,550,2.42,22950,24350,22800,127194,2981941850,5.0188E+11,21539926
1065,JW중외제약우,KOSPI,,33850,-450,-1.31,34300,34300,32650,340,11290050,6007901100,177486
1067,JW중외제약2우B,KOSPI,,58900,0,0,58900,58900,58000,150,8832400,5479349200,93028
1070,대한방직,KOSPI,,46400,100,0.22,46300,46450,46150,6673,309242950,2.4592E+11,5300000
1080,만호제강,KOSPI,,21200,-200,-0.93,21050,21250,20950,2851,59936950,87980000000,4150000
1120,LX인터내셔널,KOSPI,,27100,1050,4.03,26300,27750,26300,938075,25400135750,1.0504E+12,38760000
1130,대한제분,KOSPI,,155000,-1500,-0.96,155500,156500,153000,3296,510346500,2.6195E+11,1690000
1140,국보,KOSPI,,1825,-75,-3.95,1915,1915,1770,2814523,5109139685,1.11445E+11,61065541
1200,유진투자증권,KOSPI,,3660,-20,-0.54,3650,3675,3615,141321,514512010,3.54531E+11,96866418
1210,금호전기,KOSPI,,3315,-205,-5.82,3520,3520,3250,176569,593010870,63603025395,19186433
1230,동국제강,KOSPI,,15900,-100,-0.63,15800,16100,15650,401222,6358199600,1.51738E+12,95432737
1250,GS글로벌,KOSPI,,2440,-80,-3.17,2495,2520,2435,469295,1160606205,2.01382E+11,82533764
1260,남광토건,KOSPI,,14250,-50,-0.35,14300,14750,14050,34283,489121450,1.40062E+11,9828901
1270,부국증권,KOSPI,,24250,-300,-1.22,24300,24600,24200,1437,34974950,2.5147E+11,10369886
1275,부국증권우,KOSPI,,22950,0,0,22950,22950,22950,396,9088200,68850000000,3000000
1290,상상인증권,KOSPI,,1195,-5,-0.42,1190,1210,1190,75895,90814930,1.16519E+11,97505815
1340,백광산업,KOSPI,,5270,-100,-1.86,5250,5420,5250,318594,1685763860,2.3672E+11,44918407
1360,삼성제약,KOSPI,,4945,-105,-2.08,5020,5080,4910,552541,2742865455,3.32116E+11,67162079
1380,SG글로벌,KOSPI,,1910,-60,-3.05,1950,1970,1900,191830,368864855,85881513130,44964143
1390,KG케미칼,KOSPI,,32950,-1100,-3.23,33600,34350,32650,432752,14423584850,4.56888E+11,13866096
1420,태원물산,KOSPI,,5120,-110,-2.1,5080,5230,5010,42543,217244470,38912000000,7600000
1430,세아베스틸,KOSPI,,19600,-100,-0.51,19550,20100,19400,93825,1854905850,7.02898E+11,35862119
1440,대한전선,KOSPI,,1905,-275,-12.61,1580,2095,1575,79778696,1.52703E+11,1.63158E+12,856473009
1450,현대해상,KOSPI,,24900,-350,-1.39,25200,25200,24800,374198,9343739350,2.22606E+12,89400000
