종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,13800,-100,-0.72,13900,14100,13800,197034,2739342350,3.85454E+11,27931470
40,KR모터스,KOSPI,,942,-14,-1.46,956,960,941,321582,304948588,90561400656,96137368
50,경방,KOSPI,,13650,50,0.37,13600,13750,13500,5176,70286250,3.74218E+11,27415270
60,메리츠화재,KOSPI,,29650,300,1.02,29750,29900,29500,160575,4783152250,3.57653E+12,120625000
70,삼양홀딩스,KOSPI,,100500,-500,-0.5,101000,103000,99900,21011,2120780800,8.60709E+11,8564271
75,삼양홀딩스우,KOSPI,,69800,0,0,71800,71800,69100,106,7397600,21223248400,304058
80,하이트진로,KOSPI,,32750,-500,-1.5,33000,33200,32750,191473,6288623600,2.29688E+12,70133611
87,하이트진로2우B,KOSPI,,19950,-50,-0.25,20000,20100,19800,1228,24404800,22546253100,1130138
100,유한양행,KOSPI,,59600,-600,-1,59700,60200,59500,131164,7837568200,4.17039E+12,69972959
105,유한양행우,KOSPI,,58600,100,0.17,58400,58600,58100,945,55011400,69203084000,1180940
120,CJ대한통운,KOSPI,,135000,-2500,-1.82,136000,137000,134500,29028,3939848000,3.07967E+12,22812344
140,하이트진로홀딩스,KOSPI,,13750,-50,-0.36,13800,13850,13650,9805,134837850,3.19093E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16400,400,2.5,16150,16450,16000,438,7167400,7721284000,470810
150,두산,KOSPI,,127500,1500,1.19,127000,134000,126500,87833,11347499000,2.10679E+12,16523835
155,두산우,KOSPI,,78800,1300,1.68,78200,80500,78200,1571,124816500,3.14921E+11,3996462
157,두산2우B,KOSPI,,115500,-1000,-0.86,117000,119500,115500,1039,121598500,1.03146E+11,893038
180,성창기업지주,KOSPI,,2460,15,0.61,2445,2500,2430,59417,146465690,1.71589E+11,69751600
210,DL,KOSPI,,61400,-200,-0.32,61000,61900,60700,85924,5255463900,1.28669E+12,20955884
215,DL우,KOSPI,,37800,50,0.13,38700,38700,37350,1544,57989850,63735147000,1686115
220,유유제약,KOSPI,,6920,80,1.17,6850,6930,6840,43604,300824910,1.19248E+11,17232351
225,유유제약1우,KOSPI,,9200,30,0.33,9230,9230,8980,6006,54442890,20855756000,2266930
227,유유제약2우B,KOSPI,,18300,-400,-2.14,18700,18800,18100,708,12978750,5957748000,325560
230,일동홀딩스,KOSPI,,14000,500,3.7,13500,14000,13300,22931,313918250,1.61566E+11,11540400
240,한국앤컴퍼니,KOSPI,,16050,-400,-2.43,16250,16300,16000,103957,1673025250,1.52371E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,44600,-900,-1.98,46000,46800,44400,187690,8497698350,1.01545E+12,22768041
270,기아,KOSPI,,83700,-2000,-2.33,85400,86000,83700,1643812,1.38503E+11,3.39289E+13,405363347
300,대유플러스,KOSPI,,1530,-125,-7.55,1625,1645,1500,7396393,11662894735,1.85128E+11,120998774
320,노루홀딩스,KOSPI,,12900,-50,-0.39,12950,13100,12800,22762,293203100,1.71456E+11,13291151
325,노루홀딩스우,KOSPI,,40400,-1800,-4.27,41400,41400,40400,2554,104435250,7484100000,185250
370,한화손해보험,KOSPI,,4065,10,0.25,4090,4130,4040,305518,1241222385,4.74544E+11,116738915
390,삼화페인트,KOSPI,,9510,-80,-0.83,9600,9700,9500,30973,296259240,2.58705E+11,27203469
400,롯데손해보험,KOSPI,,1750,-20,-1.13,1765,1780,1750,189129,332263715,5.43089E+11,310336320
430,대원강업,KOSPI,,3995,-5,-0.13,4030,4070,3975,137023,550095385,2.4769E+11,62000000
