종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,13450,0,0,13550,13650,13400,171743,2315791150,3.75678E+11,27931470
40,KR모터스,KOSPI,,905,-37,-3.93,945,958,900,473743,435497977,87004318040,96137368
50,경방,KOSPI,,13650,50,0.37,13600,13700,13500,14986,203038900,3.74218E+11,27415270
60,메리츠화재,KOSPI,,31250,500,1.63,30750,31250,30250,440445,13700372550,3.76953E+12,120625000
70,삼양홀딩스,KOSPI,,99300,-1700,-1.68,101000,101000,99000,21603,2156186600,8.50432E+11,8564271
75,삼양홀딩스우,KOSPI,,69700,400,0.58,69700,69700,67200,492,33241900,21192842600,304058
80,하이트진로,KOSPI,,31850,-850,-2.6,32500,32600,31750,329459,10534436500,2.23376E+12,70133611
87,하이트진로2우B,KOSPI,,19650,-200,-1.01,19850,19850,19550,1055,20761150,22207211700,1130138
100,유한양행,KOSPI,,59300,-400,-0.67,59400,59900,59300,101869,6054685000,4.1494E+12,69972959
105,유한양행우,KOSPI,,58400,0,0,58400,58500,58200,584,34068100,68966896000,1180940
120,CJ대한통운,KOSPI,,131000,-4000,-2.96,133500,134500,131000,37799,4986551000,2.98842E+12,22812344
140,하이트진로홀딩스,KOSPI,,13450,-50,-0.37,13500,13700,13400,14160,191029000,3.12131E+11,23206765
145,하이트진로홀딩스우,KOSPI,,16000,0,0,16200,16200,15900,279,4441150,7532960000,470810
150,두산,KOSPI,,123500,-3500,-2.76,126500,128000,121500,51698,6397243500,2.04069E+12,16523835
155,두산우,KOSPI,,77500,-1000,-1.27,78700,79900,77200,1050,81708200,3.09726E+11,3996462
157,두산2우B,KOSPI,,115500,-1500,-1.28,116500,116500,114500,708,81681500,1.03146E+11,893038
180,성창기업지주,KOSPI,,2415,-20,-0.82,2435,2435,2390,133661,321384280,1.6845E+11,69751600
210,DL,KOSPI,,60300,-800,-1.31,61100,61200,60000,96631,5828664200,1.26364E+12,20955884
215,DL우,KOSPI,,36850,-850,-2.25,37400,38500,36500,9719,359177500,62133337750,1686115
220,유유제약,KOSPI,,6920,-50,-0.72,7070,7080,6920,63620,443358350,1.19248E+11,17232351
225,유유제약1우,KOSPI,,8730,-440,-4.8,9190,9190,8730,11914,105314630,19790298900,2266930
227,유유제약2우B,KOSPI,,17000,-1000,-5.56,18000,18250,16600,2734,45940150,5534520000,325560
230,일동홀딩스,KOSPI,,14300,400,2.88,13750,14900,13550,68917,982539250,1.65028E+11,11540400
240,한국앤컴퍼니,KOSPI,,15700,-300,-1.88,16000,16000,15500,121274,1907165800,1.49048E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,45200,-450,-0.99,45650,46400,44500,105245,4755062100,1.02912E+12,22768041
270,기아,KOSPI,,82400,-1000,-1.2,83500,83600,82400,1102749,91220585500,3.34019E+13,405363347
300,대유플러스,KOSPI,,1605,20,1.26,1600,1620,1550,3253878,5164766735,1.94203E+11,120998774
320,노루홀딩스,KOSPI,,12450,-300,-2.35,12750,12750,12450,20413,255836000,1.65475E+11,13291151
325,노루홀딩스우,KOSPI,,39100,-550,-1.39,39650,40100,38700,2150,84341750,7243275000,185250
370,한화손해보험,KOSPI,,3960,-75,-1.86,4050,4050,3955,448097,1789010100,4.62286E+11,116738915
390,삼화페인트,KOSPI,,9350,-150,-1.58,9450,9500,9340,29217,273953510,2.54352E+11,27203469
400,롯데손해보험,KOSPI,,1775,5,0.28,1795,1795,1765,80498,142857100,5.50847E+11,310336320
430,대원강업,KOSPI,,3975,-35,-0.87,4030,4030,3970,127063,507122875,2.4645E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,15850,50,0.32,15700,16050,15650,24917,392461700,98700010500,6227130
480,조선내화,KOSPI,,84300,-400,-0.47,85100,85300,84300,2168,183815800,3.372E+11,4000000
490,대동,KOSPI,,9870,-230,-2.28,10100,10150,9870,151191,1506207930,2.34197E+11,23728210
500,가온전선,KOSPI,,24600,-300,-1.2,24900,24900,24250,7017,171845100,1.02345E+11,4160347
520,삼일제약,KOSPI,,7590,-110,-1.43,7670,7750,7590,37395,284742890,1.02748E+11,13537283
540,흥국화재,KOSPI,,3710,-65,-1.72,3775,3785,3705,23075,85939255,2.3834E+11,64242645
545,흥국화재우,KOSPI,,7980,-170,-2.09,8250,8250,7970,3121,25179710,6128640000,768000
547,흥국화재2우B,KOSPI,,26100,-450,-1.69,26800,26800,26100,361,9487250,4008960000,153600
590,CS홀딩스,KOSPI,,61100,200,0.33,60700,61300,60500,1848,112425100,70538850200,1154482
640,동아쏘시오홀딩스,KOSPI,,116500,5500,4.95,111000,117500,110000,38002,4359025000,7.39484E+11,6347506
650,천일고속,KOSPI,,66100,-100,-0.15,66800,67300,65300,662,43594900,94471442000,1429220
660,SK하이닉스,KOSPI,,117500,-2000,-1.67,120500,121000,117000,3338081,3.94993E+11,8.55403E+13,728002365
670,영풍,KOSPI,,647000,0,0,645000,655000,642000,554,359014000,1.1918E+12,1842040
680,LS네트웍스,KOSPI,,3030,-60,-1.94,3100,3140,3020,71514,218175550,2.38773E+11,78803016
700,유수홀딩스,KOSPI,,6020,-30,-0.5,6060,6090,5970,81118,486314600,1.56772E+11,26041812
720,현대건설,KOSPI,,47800,-300,-0.62,48300,48950,47800,421488,20342802150,5.32281E+12,111355765
725,현대건설우,KOSPI,,80500,300,0.37,80900,80900,80300,6191,498202800,84902786500,1054693
760,이화산업,KOSPI,,15600,-250,-1.58,15850,15850,15600,3004,46959200,43680000000,2800000
810,삼성화재,KOSPI,,212500,-4500,-2.07,215500,216000,212500,68594,14644472500,1.00672E+13,47374837
815,삼성화재우,KOSPI,,176500,-2000,-1.12,178500,178500,176000,9105,1607141000,5.63388E+11,3192000
850,화천기공,KOSPI,,34450,-200,-0.58,34650,34900,34250,2495,86046500,75790000000,2200000
860,강남제비스코,KOSPI,,22700,100,0.44,22700,22800,22550,3890,88066650,1.4755E+11,6500000
880,한화,KOSPI,,32200,-350,-1.08,32450,32450,32200,170660,5510202100,2.41367E+12,74958735
885,한화우,KOSPI,,34900,-1250,-3.46,36150,36150,34900,1564,54719200,16727360600,479294
890,보해양조,KOSPI,,899,-8,-0.88,908,910,897,472869,425582377,1.24075E+11,138014479
910,유니온,KOSPI,,7480,340,4.76,7300,7550,7250,1175099,8745033660,1.16775E+11,15611619
950,전방,KOSPI,,40000,-750,-1.84,40350,40450,40000,443,17763250,67200000000,1680000
970,한국주철관,KOSPI,,9120,-80,-0.87,9200,9200,9070,35208,320600270,2.07941E+11,22800500
990,DB하이텍,KOSPI,,73800,800,1.1,74000,75100,72100,1677217,1.2357E+11,3.27662E+12,44398588
995,DB하이텍1우,KOSPI,,106000,0,0,108000,108000,105000,226,24159500,11905496000,112316
1000,신라섬유,KOSDAQ,중견기업부,2235,-5,-0.22,2205,2315,2205,126685,282835595,54260301900,24277540
1020,페이퍼코리아,KOSPI,,1535,5,0.33,1510,1545,1490,96598,147133700,62781744065,40900159
1040,CJ,KOSPI,,88400,-2200,-2.43,90700,90800,88200,48791,4338037300,2.57925E+12,29176998
1045,CJ우,KOSPI,,58900,-100,-0.17,59500,59500,58400,836,49023800,1.33127E+11,2260223
1060,JW중외제약,KOSPI,,23100,-250,-1.07,23300,23400,22850,23098,531026900,4.97572E+11,21539926
1065,JW중외제약우,KOSPI,,33900,100,0.3,34000,34000,33700,64,2167600,6016775400,177486
