종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,15400,-250,-1.6,15700,15800,15250,486132,7493286100,4.30145E+11,27931470
40,KR모터스,KOSPI,,998,-12,-1.19,1015,1020,998,327098,328065518,95945093264,96137368
50,경방,KOSPI,,13800,-50,-0.36,14050,14100,13650,28465,394375400,3.78331E+11,27415270
60,메리츠화재,KOSPI,,30250,1000,3.42,29250,30600,29200,356077,10713755450,3.64891E+12,120625000
70,삼양홀딩스,KOSPI,,105000,500,0.48,105000,106500,104000,16001,1682956500,8.99248E+11,8564271
75,삼양홀딩스우,KOSPI,,68900,-500,-0.72,69900,69900,68400,396,27149500,20949596200,304058
80,하이트진로,KOSPI,,34050,-1000,-2.85,35050,35100,34000,424451,14550992700,2.38805E+12,70133611
87,하이트진로2우B,KOSPI,,20700,-350,-1.66,21050,21050,20600,1205,24996750,23393856600,1130138
100,유한양행,KOSPI,,61500,-200,-0.32,61700,61800,60900,94000,5755903400,4.30334E+12,69972959
105,유한양행우,KOSPI,,58600,-400,-0.68,59000,59000,58000,502,29309700,69203084000,1180940
120,CJ대한통운,KOSPI,,145500,-3000,-2.02,150000,150000,145000,20155,2950727000,3.3192E+12,22812344
140,하이트진로홀딩스,KOSPI,,14800,-250,-1.66,15150,15150,14750,12430,184520700,3.4346E+11,23206765
145,하이트진로홀딩스우,KOSPI,,17400,-150,-0.85,17850,17850,17400,452,7875750,8192094000,470810
150,두산,KOSPI,,110000,3000,2.8,109500,114500,108000,141097,15619825500,1.81762E+12,16523835
155,두산우,KOSPI,,75200,0,0,76000,77500,75200,8480,648808800,3.00534E+11,3996462
157,두산2우B,KOSPI,,128000,-1500,-1.16,131000,138000,125500,7739,1003652000,1.14309E+11,893038
180,성창기업지주,KOSPI,,2530,-30,-1.17,2560,2575,2500,160899,406456855,1.76472E+11,69751600
210,DL,KOSPI,,66400,-1600,-2.35,68000,68200,66100,76691,5113136300,1.39147E+12,20955884
215,DL우,KOSPI,,40700,-550,-1.33,41150,41350,40350,1280,52284300,68624880500,1686115
220,유유제약,KOSPI,,7390,-110,-1.47,7510,7590,7380,49958,371876490,1.27347E+11,17232351
225,유유제약1우,KOSPI,,10000,-100,-0.99,10100,10150,10000,9161,91989300,22669300000,2266930
227,유유제약2우B,KOSPI,,23300,-250,-1.06,24050,24050,23050,1600,37853000,7585548000,325560
230,일동홀딩스,KOSPI,,13700,100,0.74,13600,13700,13400,7880,106906700,1.58103E+11,11540400
240,한국앤컴퍼니,KOSPI,,17100,-250,-1.44,17250,17450,17050,72590,1250552200,1.62339E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,50300,1350,2.76,49000,51000,48450,200021,10017075850,1.14523E+12,22768041
270,기아,KOSPI,,85000,-1000,-1.16,87100,87100,84600,894542,76540012400,3.44559E+13,405363347
