종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20,동화약품,KOSPI,,15100,-300,-1.95,15500,15600,14850,611974,9282057150,4.21765E+11,27931470
40,KR모터스,KOSPI,,997,-1,-0.1,1005,1010,995,318823,318832500,95848955896,96137368
50,경방,KOSPI,,13800,0,0,13800,13800,13550,13627,187612600,3.78331E+11,27415270
60,메리츠화재,KOSPI,,29450,-800,-2.64,30000,30450,29450,170872,5099345850,3.55241E+12,120625000
70,삼양홀딩스,KOSPI,,105500,500,0.48,106000,107500,105500,12807,1365597000,9.03531E+11,8564271
75,삼양홀딩스우,KOSPI,,68900,0,0,68900,69100,68900,48,3307400,20949596200,304058
80,하이트진로,KOSPI,,33800,-250,-0.73,34100,34500,33650,275879,9358728550,2.37052E+12,70133611
87,하이트진로2우B,KOSPI,,20600,-100,-0.48,20700,20800,20400,2757,56760900,23280842800,1130138
100,유한양행,KOSPI,,61100,-400,-0.65,61600,62300,61000,127793,7849608500,4.27535E+12,69972959
105,유한양행우,KOSPI,,58900,300,0.51,58700,59000,58700,336,19790800,69557366000,1180940
120,CJ대한통운,KOSPI,,145000,-500,-0.34,146500,149000,144000,33636,4892381000,3.30779E+12,22812344
140,하이트진로홀딩스,KOSPI,,14650,-150,-1.01,14800,14900,14400,17905,261610400,3.39979E+11,23206765
145,하이트진로홀딩스우,KOSPI,,17550,150,0.86,17950,18100,17450,1291,23062900,8262715500,470810
150,두산,KOSPI,,125500,15500,14.09,111500,138500,110500,513162,64270047500,2.07374E+12,16523835
155,두산우,KOSPI,,80400,5200,6.91,75900,85200,75100,63176,5095678400,3.21316E+11,3996462
157,두산2우B,KOSPI,,133000,5000,3.91,131000,145500,129500,55207,7666008000,1.18774E+11,893038
180,성창기업지주,KOSPI,,2540,10,0.4,2535,2550,2505,95565,241931240,1.77169E+11,69751600
210,DL,KOSPI,,65300,-1100,-1.66,66700,67200,64900,126260,8290541100,1.36842E+12,20955884
215,DL우,KOSPI,,40350,-350,-0.86,40700,41100,40200,1703,68981600,68034740250,1686115
220,유유제약,KOSPI,,7320,-70,-0.95,7390,7570,7300,71821,531401590,1.26141E+11,17232351
225,유유제약1우,KOSPI,,10150,150,1.5,10150,10150,10000,36264,366045600,23009339500,2266930
227,유유제약2우B,KOSPI,,23150,-150,-0.64,23300,23500,22750,164,3766750,7536714000,325560
230,일동홀딩스,KOSPI,,13450,-250,-1.82,13450,13850,13450,13843,187609200,1.55218E+11,11540400
240,한국앤컴퍼니,KOSPI,,17750,650,3.8,17200,18000,17200,318794,5671795150,1.6851E+12,94935240
250,삼천당제약,KOSDAQ,우량기업부,50600,300,0.6,51200,51400,49900,160458,8127778800,1.15206E+12,22768041
270,기아,KOSPI,,87000,2000,2.35,86000,87700,85500,1717408,1.49199E+11,3.52666E+13,405363347
300,대유플러스,KOSPI,,1510,-15,-0.98,1525,1550,1475,6166427,9286636020,1.82708E+11,120998774
320,노루홀딩스,KOSPI,,12300,-50,-0.4,12350,12500,12300,7906,97678400,1.63481E+11,13291151
325,노루홀딩스우,KOSPI,,47400,-1600,-3.27,48850,48850,46500,7771,366323050,8780850000,185250
370,한화손해보험,KOSPI,,4455,-75,-1.66,4550,4550,4415,509867,2271056180,5.20072E+11,116738915
390,삼화페인트,KOSPI,,9890,-100,-1,9940,10100,9810,50028,496664380,2.69042E+11,27203469
400,롯데손해보험,KOSPI,,1880,15,0.8,1855,1895,1840,295358,552254935,5.83432E+11,310336320
430,대원강업,KOSPI,,4055,-65,-1.58,4145,4165,4040,227247,928273860,2.5141E+11,62000000
440,중앙에너비스,KOSDAQ,중견기업부,18500,450,2.49,17800,18800,17650,105314,1933144300,1.15202E+11,6227130
480,조선내화,KOSPI,,88000,-100,-0.11,88100,88200,87800,1080,95055700,3.52E+11,4000000
490,대동,KOSPI,,10150,-300,-2.87,10450,10500,10000,394049,4022660900,2.40841E+11,23728210
500,가온전선,KOSPI,,27900,-200,-0.71,28000,28350,27700,10271,287073400,1.16074E+11,4160347
520,삼일제약,KOSPI,,8090,-30,-0.37,8110,8190,8050,45583,368899550,1.09517E+11,13537283
540,흥국화재,KOSPI,,3820,-15,-0.39,3830,3850,3775,52316,199059800,2.45407E+11,64242645
545,흥국화재우,KOSPI,,8700,-60,-0.68,8760,8760,8620,1182,10234770,6681600000,768000
547,흥국화재2우B,KOSPI,,28100,-100,-0.35,28050,28150,27900,145,4071600,4316160000,153600
590,CS홀딩스,KOSPI,,64800,-100,-0.15,64800,65000,64100,1561,100565300,74810433600,1154482
640,동아쏘시오홀딩스,KOSPI,,107500,0,0,107500,108000,106000,6209,663466500,6.82357E+11,6347506
650,천일고속,KOSPI,,69000,1100,1.62,68000,69000,67600,761,51981000,98616180000,1429220
660,SK하이닉스,KOSPI,,106000,500,0.47,107000,108000,105500,2059242,2.20087E+11,7.71683E+13,728002365
670,영풍,KOSPI,,687000,2000,0.29,684000,703000,684000,1116,775633000,1.26548E+12,1842040
680,LS네트웍스,KOSPI,,3400,30,0.89,3420,3435,3345,303692,1028422750,2.6793E+11,78803016
700,유수홀딩스,KOSPI,,5880,-120,-2,6000,6000,5860,78383,462186970,1.53126E+11,26041812
720,현대건설,KOSPI,,51600,200,0.39,51900,52100,51100,262212,13527210000,5.74596E+12,111355765
725,현대건설우,KOSPI,,96500,-12000,-11.06,98500,98500,94300,52234,5049979700,9539604000,98856
760,이화산업,KOSPI,,16700,-100,-0.6,16750,16750,16500,768,12736150,46760000000,2800000
