종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2017
20,동화약품 ,10150,320,3.26,949,10.7,9055,1.12,110,1.08,,
30,우리은행 ,15600,-300,-1.89,1567,9.96,30157,0.52,400,2.56,,
40,KR모터스 ,406,-7,-1.69,,,335,1.21,0,0,,
50,경방 ,14500,-300,-2.03,1075,13.49,24799,0.58,180,1.24,,
60,메리츠화재 ,25250,-150,-0.59,2189,11.53,14796,1.71,830,3.29,,
70,삼양홀딩스 ,92700,-800,-0.86,2923,31.71,152526,0.61,2000,2.16,,
75,삼양홀딩스우 ,59000,1500,2.61,,,,,2050,3.47,,
80,하이트진로 ,25450,-300,-1.17,551,46.19,18118,1.4,900,3.54,,
87,하이트진로2우B ,18750,0,0,,,,,950,5.07,,
100,유한양행 ,209000,-2500,-1.18,15042,13.89,125867,1.66,2000,0.96,,
105,유한양행우 ,170500,500,0.29,,,,,2050,1.2,,
120,CJ대한통운 ,151500,-2500,-1.62,3166,47.85,102843,1.47,0,0,,
140,하이트진로홀딩스 ,10600,-50,-0.47,1277,8.3,22441,0.47,200,1.89,,
145,하이트진로홀딩스우 ,10000,50,0.5,,,,,250,2.5,,
150,두산 ,138000,2000,1.47,9972,13.84,93405,1.48,5100,3.7,,
155,두산우 ,81300,-600,-0.73,,,,,5150,6.33,,
157,두산2우B ,80300,-100,-0.12,,,,,5100,6.35,,
180,성창기업지주 ,2670,0,0,306,8.73,7212,0.37,10,0.37,,
210,대림산업 ,88800,-400,-0.45,6868,12.93,119454,0.74,300,0.34,,
215,대림산업우 ,36000,150,0.42,,,,,350,0.97,,
220,유유제약 ,12350,-250,-1.98,987,12.51,10345,1.19,180,1.46,,
225,유유제약1우 ,7210,-50,-0.69,,,,,190,2.64,,
227,유유제약2우B ,23150,-150,-0.64,,,,,190,0.82,,
230,일동홀딩스 ,16250,150,0.93,15624,1.04,14507,1.12,150,0.92,,
240,한국타이어월드와이드 ,19700,-350,-1.75,2852,6.91,30138,0.65,300,1.52,,
250,삼천당제약 ,13800,-300,-2.13,422,32.7,5689,2.43,50,0.36,,
270,기아차 ,34750,-250,-0.71,6873,5.06,65569,0.53,1100,3.17,,
300,대유플러스 ,750,3,0.4,,,1032,0.73,0,0,,
320,노루홀딩스 ,17200,-450,-2.55,1046,16.44,25908,0.66,450,2.62,,
