종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2020
20,동화약품 ,17700,-400,-2.21,341,51.91,10772,1.64,120,0.68,,
40,KR모터스 ,1075,70,6.97,,,318,3.38,0,0,,
50,경방 ,11250,100,0.9,1630,6.9,27050,0.42,125,1.11,,
60,메리츠화재 ,15100,300,2.03,2693,5.61,21397,0.71,850,5.63,,
70,삼양홀딩스 ,64300,0,0,3987,16.13,160079,0.4,2000,3.11,,
75,삼양홀딩스우 ,47800,0,0,,,,,2050,4.29,,
80,하이트진로 ,34650,-50,-0.14,,,14488,2.39,700,2.02,,
87,하이트진로2우B ,21150,100,0.48,,,,,0,0,,
100,유한양행 ,64400,-100,-0.16,644,100,24221,2.66,400,0.62,,
105,유한양행우 ,63400,-300,-0.47,,,,,410,0.65,,
120,CJ대한통운 ,158000,2500,1.61,1349,117.12,131146,1.2,0,0,,
140,하이트진로홀딩스 ,16000,250,1.59,,,18398,0.87,350,2.19,,
145,하이트진로홀딩스우 ,15300,-100,-0.65,,,,,400,2.61,,
150,두산 ,50300,700,1.41,21900,2.3,72969,0.69,5200,10.34,,
155,두산우 ,40950,250,0.61,,,,,5250,12.82,,
157,두산2우B ,80500,200,0.25,,,,,5200,6.46,,
180,성창기업지주 ,1980,-5,-0.25,,,7529,0.26,0,0,,
210,대림산업 ,83800,1600,1.95,17223,4.87,153815,0.54,1300,1.55,,
215,대림산업우 ,44350,1000,2.31,,,,,1350,3.04,,
220,유유제약 ,13650,-250,-1.8,756,18.06,11570,1.18,210,1.54,,
225,유유제약1우 ,13450,-300,-2.18,,,,,220,1.64,,
227,유유제약2우B ,33000,700,2.17,,,,,220,0.67,,
230,일동홀딩스 ,9510,60,0.63,,,11931,0.8,100,1.05,,
240,한국테크놀로지그룹 ,15850,-100,-0.63,1650,9.61,35269,0.45,350,2.21,,
250,삼천당제약 ,54700,1500,2.82,488,112.09,7142,7.66,50,0.09,,
270,기아차 ,58100,3600,6.61,4556,12.75,71487,0.81,1150,1.98,,
300,대유플러스 ,822,-12,-1.44,152,5.41,953,0.86,0,0,,
320,노루홀딩스 ,9490,230,2.48,439,21.62,27108,0.35,400,4.21,,
325,노루홀딩스우 ,17900,-150,-0.83,,,,,405,2.26,,
370,한화손해보험 ,3015,0,0,,,12154,0.25,0,0,,
390,삼화페인트 ,5130,0,0,167,30.72,10625,0.48,125,2.44,,
400,롯데손해보험 ,1820,70,4,,,3112,0.58,0,0,,
430,대원강업 ,4000,0,0,258,15.5,7743,0.52,115,2.88,,
440,중앙에너비스 ,8250,130,1.6,132,62.5,7246,1.14,160,1.94,,
480,조선내화 ,76600,500,0.66,7493,10.22,147942,0.52,4000,5.22,,
490,대동공업 ,7720,260,3.49,150,51.47,9019,0.86,60,0.78,,
500,가온전선 ,22050,-100,-0.45,1391,15.85,61708,0.36,600,2.72,,
520,삼일제약 ,21350,-550,-2.51,129,165.5,9580,2.23,150,0.7,,
540,흥국화재 ,2865,95,3.43,510,5.62,10926,0.26,0,0,,
545,흥국화재우 ,15200,350,2.36,,,,,0,0,,
547,흥국화재2우B ,23450,0,0,,,,,0,0,,
590,CS홀딩스 ,58100,-600,-1.02,8435,6.89,195584,0.3,500,0.86,,
640,동아쏘시오홀딩스 ,134500,12000,9.8,3220,41.77,121392,1.11,1000,0.74,,
650,천일고속 ,67600,100,0.15,506,133.6,35686,1.89,5000,7.4,,
660,SK하이닉스 ,87000,500,0.58,2943,29.56,65836,1.32,1000,1.15,,
