종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2019
239610,에이치엘사이언스 ,58200,-2600,-4.28,2147,27.11,12249,4.75,300,0.52,,
240810,원익IPS ,31450,550,1.78,2105,14.94,8946,3.52,220,0.7,,
241520,DSC인베스트먼트 ,3560,180,5.33,302,11.79,1717,2.07,0,0,,
241560,두산밥캣 ,32550,-300,-0.91,2641,12.32,37303,0.87,900,2.76,,
241590,화승엔터프라이즈 ,14300,-450,-3.05,284,50.35,4621,3.09,35,0.24,,
241690,유니테크노 ,10100,0,0,469,21.54,5274,1.92,0,0,,
241710,코스메카코리아 ,13000,-500,-3.7,840,15.48,11702,1.11,100,0.77,,
241770,메카로 ,13100,-250,-1.87,2888,4.54,13829,0.95,575,4.39,,
241790,오션브릿지 ,9950,-100,-1,1482,6.71,5608,1.77,400,4.02,,
241820,피씨엘 ,8700,-80,-0.91,,,1090,7.98,0,0,,
241840,에이스토리 ,10250,270,2.71,314,32.64,1730,5.92,0,0,,
242040,나무기술 ,3010,10,0.33,,,462,6.52,0,0,,
243070,휴온스 ,46600,-50,-0.11,5044,9.24,18187,2.56,800,1.72,,
243840,신흥에스이씨 ,36400,-150,-0.41,1468,24.8,12812,2.84,150,0.41,,
244460,올리패스 ,19750,-150,-0.75,,,,,0,0,,
245620,EDGC ,6060,-40,-0.66,,,1235,4.91,0,0,,
246690,TS인베스트먼트 ,2450,75,3.16,185,13.24,1256,1.95,20,0.82,,
246710,티앤알바이오팹 ,11000,0,0,,,3717,2.96,0,0,,
246720,아스타 ,6390,-260,-3.91,,,2584,2.47,0,0,,
246960,이노테라피 ,14800,-600,-3.9,,,2137,6.93,0,0,,
247540,에코프로비엠 ,50900,300,0.59,2345,21.71,9880,5.15,0,0,,
248170,샘표식품 ,30100,250,0.84,3940,7.64,28830,1.04,200,0.66,,
249420,일동제약 ,17700,-600,-3.28,562,31.49,12238,1.45,400,2.26,,
250000,보라티알 ,10100,1060,11.73,715,14.13,7563,1.34,150,1.49,,
250060,모비스 ,2500,-85,-3.29,,,754,3.32,0,0,,
250930,예선테크 ,2870,125,4.55,,,,,0,0,,
251270,넷마블 ,91100,-2900,-3.09,2230,40.85,51303,1.78,0,0,,
251370,와이엠티 ,31300,-1950,-5.86,992,31.55,8617,3.63,0,0,,
251630,브이원텍 ,8850,-240,-2.64,1031,8.58,5120,1.73,200,2.26,,
251970,펌텍코리아 ,18500,-500,-2.63,2134,8.67,6744,2.74,0,0,,
252500,세화피앤씨 ,2855,20,0.71,56,50.98,1247,2.29,10,0.35,,
