20,동화약품 ,15650,-50,-0.32,1033,15.15,11860,1.32,180
60,메리츠화재 ,29250,1400,5.03,3856,7.59,22175,1.32,1280
880,한화 ,32800,50,0.15,2831,11.59,46059,0.71,700
990,DB하이텍 ,58600,1300,2.27,3822,15.33,17851,3.28,350
1460,BYC ,435000,1500,0.35,21904,19.86,538911,0.81,1100
1500,현대차증권 ,12850,100,0.78,2739,4.69,27500,0.47,675
1630,종근당홀딩스 ,83700,1500,1.82,15711,5.33,107821,0.78,1400
1680,대상 ,24250,300,1.25,3473,6.98,30083,0.81,700
1880,DL건설 ,29500,100,0.34,7953,3.71,34403,0.86,550
2170,삼양통상 ,63800,-100,-0.16,17515,3.64,125195,0.51,1250
2270,롯데푸드 ,383000,3500,0.92,77191,4.96,672512,0.57,12000
2700,신일전자 ,1950,-10,-0.51,115,16.96,1059,1.84,20
2840,미원상사 ,209500,500,0.24,10369,20.2,53838,3.89,700
3230,삼양식품 ,83200,300,0.36,8922,9.33,45470,1.83,800
3310,대주산업 ,2180,40,1.87,98,22.24,1530,1.42,35
3540,대신증권 ,20750,50,0.24,2119,9.79,23605,0.88,1200
3550,LG ,93100,600,0.65,8338,11.17,115188,0.81,2500
4310,현대약품 ,5970,110,1.88,80,74.63,2817,2.12,43
4690,삼천리 ,93100,100,0.11,9248,10.07,317378,0.29,3000
4890,동일산업 ,140500,-2000,-1.4,3700,37.97,148639,0.95,1800
5500,삼진제약 ,25700,150,0.59,2266,11.34,15357,1.67,800
6060,화승인더 ,6750,-20,-0.3,698,9.67,6374,1.06,188
6090,사조오양 ,9750,30,0.31,1959,4.98,19611,0.5,150
6740,영풍제지 ,7030,120,1.74,483,14.55,5692,1.24,40
8420,문배철강 ,4280,10,0.23,440,9.73,5808,0.74,50
8490,서흥 ,47650,150,0.32,4766,10,29221,1.63,450
9180,한솔로지스틱스 ,5010,325,6.94,316,15.85,1989,2.52,50
10050,우리종금 ,1015,28,2.84,89,11.4,605,1.68,10
12690,모나리자 ,4175,100,2.45,217,19.24,1947,2.14,75
14570,고려제약 ,9200,120,1.32,677,13.59,6443,1.43,150
14680,한솔케미칼 ,325000,2000,0.62,11067,29.37,48977,6.64,1800
16360,삼성증권 ,47350,-50,-0.11,5686,8.33,59542,0.8,2200
17040,광명전기 ,3060,55,1.83,108,28.33,2362,1.3,15
17890,한국알콜 ,13900,150,1.09,2478,5.61,17265,0.81,100
18670,SK가스 ,134500,1500,1.13,29674,4.53,205706,0.65,4000
19010,베뉴지 ,2270,-10,-0.44,216,10.51,5453,0.42,30
19990,에너토크 ,13150,100,0.77,47,279.79,4162,3.16,50
21080,에이티넘인베스트 ,5550,220,4.13,305,18.2,1915,2.9,100
21320,KCC건설 ,10100,50,0.5,1806,5.59,18717,0.54,180
23410,유진기업 ,4970,-15,-0.3,692,7.18,10357,0.48,170
23590,다우기술 ,23550,150,0.64,6370,3.7,35388,0.67,500
24090,디씨엠 ,22550,100,0.45,2166,10.41,16153,1.4,500
25530,SJM홀딩스 ,3800,135,3.68,221,17.19,9852,0.39,100
25750,한솔홈데코 ,1925,5,0.26,7,275,1918,1,0
25820,이구산업 ,3815,0,0,57,66.93,3058,1.25,30
25860,남해화학 ,12700,150,1.2,522,24.33,9117,1.39,80
27970,세하 ,1870,15,0.81,322,5.81,1525,1.23,0
30210,KTB투자증권 ,6440,100,1.58,1162,5.54,8631,0.75,150
30610,교보증권 ,8790,20,0.23,2091,4.2,19540,0.45,450
31430,신세계인터내셔날 ,165500,0,0,7131,23.21,89514,1.85,1100
32190,다우데이타 ,13900,250,1.83,2510,5.54,19566,0.71,250
33290,코웰패션 ,9140,0,0,697,13.11,3233,2.83,120
35900,JYP Ent. ,53700,400,0.75,892,60.2,5146,10.44,154
36540,SFA반도체 ,6680,410,6.54,102,65.49,2023,3.3,0
36570,엔씨소프트 ,643000,-5000,-0.77,28504,22.56,143098,4.49,8550
36670,KCI ,8770,0,0,987,8.89,6617,1.33,200
36810,에프에스티 ,25450,300,1.19,1026,24.81,6473,3.93,100
39030,이오테크닉스 ,110000,1400,1.29,1744,63.07,32818,3.35,300
39290,인포뱅크 ,11050,250,2.31,175,63.14,6171,1.79,10
39420,케이엘넷 ,4470,115,2.64,200,22.35,1629,2.74,60
39830,오로라 ,10150,0,0,781,13,10226,0.99,100
39840,디오 ,37700,700,1.89,759,49.67,10330,3.65,0
41920,메디아나 ,5630,-50,-0.88,710,7.93,4274,1.32,50
42500,링네트 ,6690,90,1.36,598,11.19,4476,1.49,0
45100,한양이엔지 ,15500,450,2.99,2766,5.6,20421,0.76,500
45390,대아티아이 ,6340,30,0.48,99,64.04,1437,4.41,20
45520,크린앤사이언스 ,20850,50,0.24,2182,9.56,8200,2.54,500
49720,고려신용정보 ,9860,170,1.75,740,13.32,2041,4.83,275
49830,승일 ,15350,-700,-4.36,136,112.87,23032,0.67,85
53270,구영테크 ,3695,-65,-1.73,29,127.41,2633,1.4,30
53300,한국정보인증 ,6710,230,3.55,313,21.44,2911,2.31,100
53620,태양 ,9050,10,0.11,881,10.27,19081,0.47,150
53690,한미글로벌 ,10550,50,0.48,974,10.83,10889,0.97,300
56360,코위버 ,7890,20,0.25,599,13.17,12442,0.63,80
58630,엠게임 ,11950,-300,-2.45,354,33.76,2374,5.03,0
60250,NHN한국사이버결제 ,58600,200,0.34,1291,45.39,6289,9.32,0
61970,엘비세미콘 ,12800,0,0,618,20.71,3977,3.22,50
65710,서호전기 ,20450,0,0,1319,15.5,14273,1.43,1000
67160,아프리카TV ,213700,6800,3.29,3365,63.51,12758,16.75,650
67900,와이엔텍 ,12250,250,2.08,1203,10.18,8637,1.42,0
67920,이글루시큐리티 ,7500,70,0.94,526,14.26,4533,1.65,160
68270,셀트리온 ,206500,1000,0.49,3756,54.98,24262,8.51,0
68760,셀트리온제약 ,118200,2200,1.9,574,205.92,8230,14.36,0
68930,디지털대성 ,9670,-30,-0.31,445,21.73,3790,2.55,300
69080,웹젠 ,28050,-50,-0.18,2802,10.01,12300,2.28,0
69260,휴켐스 ,27600,1250,4.74,1292,21.36,16351,1.69,1000
71050,한국금융지주 ,87300,500,0.58,14780,5.91,91124,0.96,3000
71200,인피니트헬스케어 ,7270,80,1.11,274,26.53,3737,1.95,0
71460,위니아딤채 ,3775,-125,-3.21,348,10.85,2186,1.73,0
71670,에이테크솔루션 ,14650,400,2.81,285,51.4,7188,2.04,0
81150,티플랙스 ,4895,-145,-2.88,156,31.38,4176,1.17,25
81660,휠라홀딩스 ,37000,350,0.95,2306,16.05,21274,1.74,185
83310,엘오티베큠 ,14500,350,2.47,253,57.31,9666,1.5,50
83420,그린케미칼 ,10700,-50,-0.47,442,24.21,4718,2.27,210
85620,미래에셋생명 ,4385,80,1.86,482,9.1,11532,0.38,100
86390,유니테스트 ,29100,-750,-2.51,82,354.88,7301,3.99,0
89600,나스미디어 ,35400,250,0.71,2457,14.41,17385,2.04,800
