20,동화약품 ,13900,-600,-4.14,1033,13.46,11860,1.17,180
60,메리츠화재 ,28850,-850,-2.86,3856,7.48,22175,1.3,1280
880,한화 ,32050,50,0.16,2831,11.32,46059,0.7,700
990,DB하이텍 ,67400,1400,2.12,3822,17.63,17851,3.78,350
1460,BYC ,440500,-3500,-0.79,21904,20.11,538911,0.82,1100
1500,현대차증권 ,12900,-100,-0.77,2739,4.71,27500,0.47,675
1630,종근당홀딩스 ,79300,-1400,-1.73,15711,5.05,107821,0.74,1400
1680,대상 ,23600,-400,-1.67,3473,6.8,30083,0.78,700
1880,DL건설 ,27750,-400,-1.42,7953,3.49,34403,0.81,550
2170,삼양통상 ,59600,-1100,-1.81,17515,3.4,125195,0.48,1250
2270,롯데푸드 ,366000,-3000,-0.81,77191,4.74,672512,0.54,12000
2700,신일전자 ,1960,-20,-1.01,115,17.04,1059,1.85,20
2840,미원상사 ,206500,-1500,-0.72,10369,19.92,53838,3.84,700
3230,삼양식품 ,80800,0,0,8922,9.06,45470,1.78,800
3310,대주산업 ,2280,65,2.93,98,23.27,1530,1.49,35
3540,대신증권 ,20050,-100,-0.5,2119,9.46,23605,0.85,1200
3550,LG ,88100,-1600,-1.78,8338,10.57,115188,0.76,2500
4310,현대약품 ,5630,-20,-0.35,80,70.38,2817,2,43
4690,삼천리 ,88600,-1400,-1.56,9248,9.58,317378,0.28,3000
4890,동일산업 ,141000,-5500,-3.75,3700,38.11,148639,0.95,1800
5500,삼진제약 ,25450,-1050,-3.96,2266,11.23,15357,1.66,800
6060,화승인더 ,6460,-80,-1.22,698,9.26,6374,1.01,188
6090,사조오양 ,9650,-110,-1.13,1959,4.93,19611,0.49,150
6740,영풍제지 ,6970,-20,-0.29,483,14.43,5692,1.22,40
8420,문배철강 ,3855,-80,-2.03,440,8.76,5808,0.66,50
8490,서흥 ,43800,-1000,-2.23,4766,9.19,29221,1.5,450
9180,한솔로지스틱스 ,4250,-150,-3.41,316,13.45,1989,2.14,50
10050,우리종금 ,1045,15,1.46,89,11.74,605,1.73,10
12690,모나리자 ,3970,-65,-1.61,217,18.29,1947,2.04,75
14570,고려제약 ,8730,-80,-0.91,677,12.9,6443,1.35,150
14680,한솔케미칼 ,301000,-7000,-2.27,11067,27.2,48977,6.15,1800
16360,삼성증권 ,47800,-900,-1.85,5686,8.41,59542,0.8,2200
17040,광명전기 ,2740,-65,-2.32,108,25.37,2362,1.16,15
17890,한국알콜 ,12450,-400,-3.11,2478,5.02,17265,0.72,100
18670,SK가스 ,124000,-3000,-2.36,29674,4.18,205706,0.6,4000
19010,베뉴지 ,2070,-45,-2.13,216,9.58,5453,0.38,30
19990,에너토크 ,13850,-150,-1.07,47,294.68,4162,3.33,50
21080,에이티넘인베스트 ,5020,30,0.6,305,16.46,1915,2.62,100
21320,KCC건설 ,9250,-200,-2.12,1806,5.12,18717,0.49,180
23410,유진기업 ,5110,-90,-1.73,692,7.38,10357,0.49,170
23590,다우기술 ,24750,650,2.7,6370,3.89,35388,0.7,500
24090,디씨엠 ,25000,700,2.88,2166,11.54,16153,1.55,500
25530,SJM홀딩스 ,3575,-95,-2.59,221,16.18,9852,0.36,100
25750,한솔홈데코 ,1790,-25,-1.38,7,255.71,1918,0.93,0
25820,이구산업 ,3675,-145,-3.8,57,64.47,3058,1.2,30
25860,남해화학 ,12650,-200,-1.56,522,24.23,9117,1.39,80
27970,세하 ,1715,-65,-3.65,322,5.33,1525,1.12,0
30210,KTB투자증권 ,6250,-170,-2.65,1162,5.38,8631,0.72,150
30610,교보증권 ,8770,-100,-1.13,2091,4.19,19540,0.45,450
31430,신세계인터내셔날 ,153500,-4000,-2.54,7131,21.53,89514,1.71,1100
32190,다우데이타 ,15500,900,6.16,2510,6.18,19566,0.79,250
33290,코웰패션 ,8160,-140,-1.69,697,11.71,3233,2.52,120
35900,JYP Ent. ,55400,1400,2.59,892,62.11,5146,10.77,154
36540,SFA반도체 ,7280,50,0.69,102,71.37,2023,3.6,0
36570,엔씨소프트 ,725000,20000,2.84,28504,25.44,143098,5.07,8550
36670,KCI ,9150,120,1.33,987,9.27,6617,1.38,200
36810,에프에스티 ,24700,-400,-1.59,1026,24.07,6473,3.82,100
39030,이오테크닉스 ,108900,400,0.37,1744,62.44,32818,3.32,300
39290,인포뱅크 ,9980,-120,-1.19,175,57.03,6171,1.62,10
39420,케이엘넷 ,4380,90,2.1,200,21.9,1629,2.69,60
39830,오로라 ,10050,-50,-0.5,781,12.87,10226,0.98,100
39840,디오 ,35650,-850,-2.33,759,46.97,10330,3.45,0
41920,메디아나 ,5020,-140,-2.71,710,7.07,4274,1.17,50
42500,링네트 ,6570,210,3.3,598,10.99,4476,1.47,0
45100,한양이엔지 ,15750,100,0.64,2766,5.69,20421,0.77,500
45390,대아티아이 ,5880,-220,-3.61,99,59.39,1437,4.09,20
45520,크린앤사이언스 ,19200,-500,-2.54,2182,8.8,8200,2.34,500
49720,고려신용정보 ,8980,-130,-1.43,740,12.14,2041,4.4,275
49830,승일 ,14900,-1050,-6.58,136,109.56,23032,0.65,85
53270,구영테크 ,3395,-25,-0.73,29,117.07,2633,1.29,30
53300,한국정보인증 ,6570,140,2.18,313,20.99,2911,2.26,100
53620,태양 ,9070,-100,-1.09,881,10.3,19081,0.48,150
53690,한미글로벌 ,11750,0,0,974,12.06,10889,1.08,300
56360,코위버 ,7560,-80,-1.05,599,12.62,12442,0.61,80
58630,엠게임 ,14050,1650,13.31,354,39.69,2374,5.92,0
60250,NHN한국사이버결제 ,59200,200,0.34,1291,45.86,6289,9.41,0
61970,엘비세미콘 ,13200,200,1.54,618,21.36,3977,3.32,50
65710,서호전기 ,20450,-250,-1.21,1319,15.5,14273,1.43,1000
67160,아프리카TV ,229400,-6200,-2.63,3365,68.17,12758,17.98,650
67900,와이엔텍 ,11050,-300,-2.64,1203,9.19,8637,1.28,0
67920,이글루시큐리티 ,7220,-150,-2.04,526,13.73,4533,1.59,160
