20,동화약품 ,13450,-350,-2.54,1033,13.02,11860,1.13,180
60,메리츠화재 ,30750,1100,3.71,3856,7.97,22175,1.39,1280
880,한화 ,32550,-50,-0.15,2831,11.5,46059,0.71,700
990,DB하이텍 ,73000,-4800,-6.17,3822,19.1,17851,4.09,350
1460,BYC ,431500,-1500,-0.35,21904,19.7,538911,0.8,1100
1500,현대차증권 ,13000,150,1.17,2739,4.75,27500,0.47,675
1630,종근당홀딩스 ,77400,-600,-0.77,15711,4.93,107821,0.72,1400
1680,대상 ,23550,0,0,3473,6.78,30083,0.78,700
1880,DL건설 ,27500,0,0,7953,3.46,34403,0.8,550
2170,삼양통상 ,59800,100,0.17,17515,3.41,125195,0.48,1250
2270,롯데푸드 ,353000,0,0,77191,4.57,672512,0.52,12000
2700,신일전자 ,2065,-30,-1.43,115,17.96,1059,1.95,20
2840,미원상사 ,203500,-1500,-0.73,10369,19.63,53838,3.78,700
3230,삼양식품 ,80200,0,0,8922,8.99,45470,1.76,800
3310,대주산업 ,2115,-25,-1.17,98,21.58,1530,1.38,35
3540,대신증권 ,20100,150,0.75,2119,9.49,23605,0.85,1200
3550,LG ,86500,900,1.05,8338,10.37,115188,0.75,2500
4310,현대약품 ,5340,-80,-1.48,80,66.75,2817,1.9,43
4690,삼천리 ,88900,300,0.34,9248,9.61,317378,0.28,3000
4890,동일산업 ,140500,1000,0.72,3700,37.97,148639,0.95,1800
5500,삼진제약 ,26250,100,0.38,2266,11.58,15357,1.71,800
6060,화승인더 ,6360,-30,-0.47,698,9.11,6374,1,188
6090,사조오양 ,9160,60,0.66,1959,4.68,19611,0.47,150
6740,영풍제지 ,7170,130,1.85,483,14.84,5692,1.26,40
8420,문배철강 ,4010,-250,-5.87,440,9.11,5808,0.69,50
8490,서흥 ,42250,0,0,4766,8.86,29221,1.45,450
9180,한솔로지스틱스 ,4260,-25,-0.58,316,13.48,1989,2.14,50
10050,우리종금 ,985,-3,-0.3,89,11.07,605,1.63,10
12690,모나리자 ,3970,-15,-0.38,217,18.29,1947,2.04,75
14570,고려제약 ,8780,80,0.92,677,12.97,6443,1.36,150
14680,한솔케미칼 ,317000,2000,0.63,11067,28.64,48977,6.47,1800
16360,삼성증권 ,47000,0,0,5686,8.27,59542,0.79,2200
17040,광명전기 ,2685,-25,-0.92,108,24.86,2362,1.14,15
17890,한국알콜 ,12550,100,0.8,2478,5.06,17265,0.73,100
18670,SK가스 ,120500,0,0,29674,4.06,205706,0.59,4000
19010,베뉴지 ,2240,95,4.43,216,10.37,5453,0.41,30
19990,에너토크 ,11750,350,3.07,47,250,4162,2.82,50
21080,에이티넘인베스트 ,5010,25,0.5,305,16.43,1915,2.62,100
21320,KCC건설 ,8930,-20,-0.22,1806,4.94,18717,0.48,180
23410,유진기업 ,5010,-50,-0.99,692,7.24,10357,0.48,170
23590,다우기술 ,23750,0,0,6370,3.73,35388,0.67,500
24090,디씨엠 ,28450,100,0.35,2166,13.13,16153,1.76,500
25530,SJM홀딩스 ,3580,-45,-1.24,221,16.2,9852,0.36,100
25750,한솔홈데코 ,1735,-10,-0.57,7,247.86,1918,0.9,0
25820,이구산업 ,3690,15,0.41,57,64.74,3058,1.21,30
25860,남해화학 ,11450,100,0.88,522,21.93,9117,1.26,80
27970,세하 ,1745,-25,-1.41,322,5.42,1525,1.14,0
30210,KTB투자증권 ,6330,0,0,1162,5.45,8631,0.73,150
30610,교보증권 ,8940,150,1.71,2091,4.28,19540,0.46,450
31430,신세계인터내셔날 ,151000,-2500,-1.63,7131,21.18,89514,1.69,1100
32190,다우데이타 ,14700,100,0.68,2510,5.86,19566,0.75,250
33290,코웰패션 ,7930,10,0.13,697,11.38,3233,2.45,120
35900,JYP Ent. ,50600,800,1.61,892,56.73,5146,9.83,154
36540,SFA반도체 ,7020,-290,-3.97,102,68.82,2023,3.47,0
36570,엔씨소프트 ,710000,2000,0.28,28504,24.91,143098,4.96,8550
36670,KCI ,9110,-100,-1.09,987,9.23,6617,1.38,200
36810,에프에스티 ,24700,-600,-2.37,1026,24.07,6473,3.82,100
39030,이오테크닉스 ,111500,300,0.27,1744,63.93,32818,3.4,300
39290,인포뱅크 ,13850,-550,-3.82,175,79.14,6171,2.24,10
39420,케이엘넷 ,4170,5,0.12,200,20.85,1629,2.56,60
