20,동화약품 ,15100,-300,-1.95,1033,14.62,11860,1.27,180
60,메리츠화재 ,29450,-800,-2.64,3856,7.64,22175,1.33,1280
880,한화 ,32300,50,0.16,2831,11.41,46059,0.7,700
990,DB하이텍 ,58800,400,0.68,3822,15.38,17851,3.29,350
1460,BYC ,431000,-5000,-1.15,21904,19.68,538911,0.8,1100
1500,현대차증권 ,12800,100,0.79,2739,4.67,27500,0.47,675
1630,종근당홀딩스 ,82100,-1100,-1.32,15711,5.23,107821,0.76,1400
1680,대상 ,23950,0,0,3473,6.9,30083,0.8,700
1880,DL건설 ,29650,-150,-0.5,7953,3.73,34403,0.86,550
2170,삼양통상 ,63000,-300,-0.47,17515,3.6,125195,0.5,1250
2270,롯데푸드 ,379500,-7500,-1.94,77191,4.92,672512,0.56,12000
2700,신일전자 ,1935,5,0.26,115,16.83,1059,1.83,20
2840,미원상사 ,207500,-2000,-0.95,10369,20.01,53838,3.85,700
3230,삼양식품 ,81300,-200,-0.25,8922,9.11,45470,1.79,800
3310,대주산업 ,2135,10,0.47,98,21.79,1530,1.4,35
3540,대신증권 ,20350,50,0.25,2119,9.6,23605,0.86,1200
3550,LG ,93100,700,0.76,8338,11.17,115188,0.81,2500
4310,현대약품 ,5890,-50,-0.84,80,73.63,2817,2.09,43
4690,삼천리 ,93300,100,0.11,9248,10.09,317378,0.29,3000
4890,동일산업 ,141500,1000,0.71,3700,38.24,148639,0.95,1800
5500,삼진제약 ,25650,-250,-0.97,2266,11.32,15357,1.67,800
6060,화승인더 ,6540,-100,-1.51,698,9.37,6374,1.03,188
6090,사조오양 ,9550,-110,-1.14,1959,4.87,19611,0.49,150
6740,영풍제지 ,6940,-70,-1,483,14.37,5692,1.22,40
8420,문배철강 ,4100,-45,-1.09,440,9.32,5808,0.71,50
8490,서흥 ,46950,-800,-1.68,4766,9.85,29221,1.61,450
9180,한솔로지스틱스 ,4870,-220,-4.32,316,15.41,1989,2.45,50
10050,우리종금 ,997,-8,-0.8,89,11.2,605,1.65,10
12690,모나리자 ,4180,-40,-0.95,217,19.26,1947,2.15,75
14570,고려제약 ,9070,-70,-0.77,677,13.4,6443,1.41,150
14680,한솔케미칼 ,332000,3500,1.07,11067,30,48977,6.78,1800
16360,삼성증권 ,47150,150,0.32,5686,8.29,59542,0.79,2200
17040,광명전기 ,3065,65,2.17,108,28.38,2362,1.3,15
17890,한국알콜 ,13550,-100,-0.73,2478,5.47,17265,0.78,100
18670,SK가스 ,134000,1000,0.75,29674,4.52,205706,0.65,4000
19010,베뉴지 ,2200,-25,-1.12,216,10.19,5453,0.4,30
19990,에너토크 ,12250,-150,-1.21,47,260.64,4162,2.94,50
21080,에이티넘인베스트 ,5160,-320,-5.84,305,16.92,1915,2.69,100
21320,KCC건설 ,9900,-50,-0.5,1806,5.48,18717,0.53,180
23410,유진기업 ,4890,-35,-0.71,692,7.07,10357,0.47,170
23590,다우기술 ,23650,-50,-0.21,6370,3.71,35388,0.67,500
24090,디씨엠 ,23200,-200,-0.85,2166,10.71,16153,1.44,500
25530,SJM홀딩스 ,3720,-85,-2.23,221,16.83,9852,0.38,100
25750,한솔홈데코 ,1885,-55,-2.84,7,269.29,1918,0.98,0
25820,이구산업 ,3770,-25,-0.66,57,66.14,3058,1.23,30
25860,남해화학 ,15400,1500,10.79,522,29.5,9117,1.69,80
27970,세하 ,1835,-5,-0.27,322,5.7,1525,1.2,0
30210,KTB투자증권 ,6330,-20,-0.31,1162,5.45,8631,0.73,150
30610,교보증권 ,8770,0,0,2091,4.19,19540,0.45,450
31430,신세계인터내셔날 ,165500,500,0.3,7131,23.21,89514,1.85,1100
32190,다우데이타 ,13850,100,0.73,2510,5.52,19566,0.71,250
33290,코웰패션 ,8870,-70,-0.78,697,12.73,3233,2.74,120
35900,JYP Ent. ,53000,100,0.19,892,59.42,5146,10.3,154
36540,SFA반도체 ,6650,-30,-0.45,102,65.2,2023,3.29,0
36570,엔씨소프트 ,595000,-62000,-9.44,28504,20.87,143098,4.16,8550
36670,KCI ,8870,140,1.6,987,8.99,6617,1.34,200
36810,에프에스티 ,24950,-50,-0.2,1026,24.32,6473,3.85,100
39030,이오테크닉스 ,106800,-1200,-1.11,1744,61.24,32818,3.25,300
39290,인포뱅크 ,10500,-100,-0.94,175,60,6171,1.7,10
39420,케이엘넷 ,4235,-155,-3.53,200,21.18,1629,2.6,60
39830,오로라 ,10150,50,0.5,781,13,10226,0.99,100
39840,디오 ,39050,-1050,-2.62,759,51.45,10330,3.78,0
41920,메디아나 ,5260,-260,-4.71,710,7.41,4274,1.23,50
42500,링네트 ,6420,-140,-2.13,598,10.74,4476,1.43,0
45100,한양이엔지 ,15250,100,0.66,2766,5.51,20421,0.75,500
45390,대아티아이 ,6190,-30,-0.48,99,62.53,1437,4.31,20
45520,크린앤사이언스 ,19900,-200,-1,2182,9.12,8200,2.43,500
49720,고려신용정보 ,9700,-100,-1.02,740,13.11,2041,4.75,275
49830,승일 ,14200,-1100,-7.19,136,104.41,23032,0.62,85
53270,구영테크 ,3535,-95,-2.62,29,121.9,2633,1.34,30
53300,한국정보인증 ,6470,-170,-2.56,313,20.67,2911,2.22,100
53620,태양 ,9060,-10,-0.11,881,10.28,19081,0.47,150
53690,한미글로벌 ,10700,50,0.47,974,10.99,10889,0.98,300
56360,코위버 ,7980,140,1.79,599,13.32,12442,0.64,80
58630,엠게임 ,11450,400,3.62,354,32.34,2374,4.82,0
60250,NHN한국사이버결제 ,58300,-200,-0.34,1291,45.16,6289,9.27,0
61970,엘비세미콘 ,12500,-100,-0.79,618,20.23,3977,3.14,50
65710,서호전기 ,20550,150,0.74,1319,15.58,14273,1.44,1000
67160,아프리카TV ,221000,4400,2.03,3365,65.68,12758,17.32,650
67900,와이엔텍 ,11900,-400,-3.25,1203,9.89,8637,1.38,0
67920,이글루시큐리티 ,7430,0,0,526,14.13,4533,1.64,160
68270,셀트리온 ,208500,-1500,-0.71,3756,55.51,24262,8.59,0
68760,셀트리온제약 ,119000,-1100,-0.92,574,207.32,8230,14.46,0
68930,디지털대성 ,9690,-80,-0.82,445,21.78,3790,2.56,300
69080,웹젠 ,26900,-800,-2.89,2802,9.6,12300,2.19,0
69260,휴켐스 ,27200,-1050,-3.72,1292,21.05,16351,1.66,1000
71050,한국금융지주 ,85800,-1600,-1.83,14780,5.81,91124,0.94,3000
71200,인피니트헬스케어 ,7170,-50,-0.69,274,26.17,3737,1.92,0
71460,위니아딤채 ,3715,-60,-1.59,348,10.68,2186,1.7,0
71670,에이테크솔루션 ,13900,-250,-1.77,285,48.77,7188,1.93,0
81150,티플랙스 ,5090,265,5.49,156,32.63,4176,1.22,25
81660,휠라홀딩스 ,38400,1850,5.06,2306,16.65,21274,1.81,185
83310,엘오티베큠 ,13950,-200,-1.41,253,55.14,9666,1.44,50
83420,그린케미칼 ,10200,-750,-6.85,442,23.08,4718,2.16,210
85620,미래에셋생명 ,4290,-10,-0.23,482,8.9,11532,0.37,100
86390,유니테스트 ,28900,-550,-1.87,82,352.44,7301,3.96,0
