20,동화약품 ,15400,-250,-1.6,1033,14.91,11860,1.3,180
60,메리츠화재 ,30250,1000,3.42,3856,7.84,22175,1.36,1280
880,한화 ,32250,-550,-1.68,2831,11.39,46059,0.7,700
990,DB하이텍 ,58400,-200,-0.34,3822,15.28,17851,3.27,350
1460,BYC ,436000,1000,0.23,21904,19.91,538911,0.81,1100
1500,현대차증권 ,12700,-150,-1.17,2739,4.64,27500,0.46,675
1630,종근당홀딩스 ,83200,-500,-0.6,15711,5.3,107821,0.77,1400
1680,대상 ,23950,-300,-1.24,3473,6.9,30083,0.8,700
1880,DL건설 ,29800,300,1.02,7953,3.75,34403,0.87,550
2170,삼양통상 ,63300,-500,-0.78,17515,3.61,125195,0.51,1250
2270,롯데푸드 ,387000,4000,1.04,77191,5.01,672512,0.58,12000
2700,신일전자 ,1930,-20,-1.03,115,16.78,1059,1.82,20
2840,미원상사 ,209500,0,0,10369,20.2,53838,3.89,700
3230,삼양식품 ,81500,-1700,-2.04,8922,9.13,45470,1.79,800
3310,대주산업 ,2125,-55,-2.52,98,21.68,1530,1.39,35
3540,대신증권 ,20300,-450,-2.17,2119,9.58,23605,0.86,1200
3550,LG ,92400,-700,-0.75,8338,11.08,115188,0.8,2500
4310,현대약품 ,5940,-30,-0.5,80,74.25,2817,2.11,43
4690,삼천리 ,93200,100,0.11,9248,10.08,317378,0.29,3000
4890,동일산업 ,140500,0,0,3700,37.97,148639,0.95,1800
5500,삼진제약 ,25900,200,0.78,2266,11.43,15357,1.69,800
6060,화승인더 ,6640,-110,-1.63,698,9.51,6374,1.04,188
6090,사조오양 ,9660,-90,-0.92,1959,4.93,19611,0.49,150
6740,영풍제지 ,7010,-20,-0.28,483,14.51,5692,1.23,40
8420,문배철강 ,4145,-135,-3.15,440,9.42,5808,0.71,50
8490,서흥 ,47750,100,0.21,4766,10.02,29221,1.63,450
9180,한솔로지스틱스 ,5090,80,1.6,316,16.11,1989,2.56,50
10050,우리종금 ,1005,-10,-0.99,89,11.29,605,1.66,10
12690,모나리자 ,4220,45,1.08,217,19.45,1947,2.17,75
14570,고려제약 ,9140,-60,-0.65,677,13.5,6443,1.42,150
14680,한솔케미칼 ,328500,3500,1.08,11067,29.68,48977,6.71,1800
16360,삼성증권 ,47000,-350,-0.74,5686,8.27,59542,0.79,2200
17040,광명전기 ,3000,-60,-1.96,108,27.78,2362,1.27,15
